Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.07977,0.11535,88.44217,0.44975,0.01735,-0.05817,0.26505,0.16511,0.21630,0.10985
0.01000,-0.07902,0.11535,88.44646,0.44975,0.01641,-0.05817,0.26663,0.16511,0.21741,0.10985
0.02000,-0.07747,0.19808,88.45116,0.47951,0.01619,0.02058,0.26835,0.17460,0.21850,0.10487
0.03000,-0.07506,0.28368,88.45605,0.48752,0.01683,0.11009,0.27012,0.17426,0.21951,0.09545
0.04000,-0.07179,0.36407,88.46091,0.47188,0.01839,0.20195,0.27184,0.16411,0.22041,0.08310
0.05000,-0.06777,0.43078,88.46549,0.43182,0.02086,0.28664,0.27341,0.14588,0.22117,0.06973
0.06000,-0.06318,0.47626,88.46955,0.37079,0.02412,0.35516,0.27476,0.12223,0.22180,0.05715
0.07000,-0.05825,0.49518,88.47291,0.29182,0.02797,0.40030,0.27585,0.09563,0.22232,0.04679
0.08000,-0.05327,0.48543,88.47539,0.19951,0.03213,0.41755,0.27667,0.06750,0.22274,0.03957
0.09000,-0.04854,0.44878,88.47690,0.09995,0.03632,0.40562,0.27720,0.03818,0.22311,0.03610
0.10000,-0.04430,0.39089,88.47739,-0.00305,0.04024,0.36650,0.27743,0.00760,0.22346,0.03708
0.11000,-0.04072,0.32078,88.47684,-0.10376,0.04365,0.30530,0.27735,-0.02369,0.22385,0.04367
0.12000,-0.03788,0.24965,88.47531,-0.19684,0.04635,0.22961,0.27696,-0.05386,0.22433,0.05762
0.13000,-0.03573,0.18923,88.47290,-0.27924,0.04824,0.14867,0.27628,-0.07999,0.22500,0.08094
0.14000,-0.03410,0.15010,88.46973,-0.34981,0.04932,0.07228,0.27536,-0.09910,0.22595,0.11516
0.15000,-0.03273,0.14007,88.46590,-0.40932,0.04969,0.00979,0.27429,-0.10930,0.22730,0.16030
0.16000,-0.03130,0.16315,88.46154,-0.46082,0.04952,-0.03103,0.27317,-0.11070,0.22916,0.21418
0.17000,-0.02946,0.21930,88.45669,-0.50774,0.04907,-0.04489,0.27208,-0.10538,0.23159,0.27215
0.18000,-0.02691,0.30491,88.45139,-0.55313,0.04862,-0.02962,0.27106,-0.09672,0.23460,0.32778
0.19000,-0.02337,0.41382,88.44563,-0.59929,0.04847,0.01360,0.27014,-0.08814,0.23814,0.37413
0.20000,-0.01863,0.53819,88.43940,-0.64697,0.04889,0.08055,0.26930,-0.08171,0.24209,0.40527
0.21000,-0.01260,0.66923,88.43269,-0.69656,0.05009,0.16464,0.26851,-0.07748,0.24625,0.41738
0.22000,-0.00525,0.79760,88.42547,-0.74654,0.05219,0.25777,0.26775,-0.07356,0.25043,0.40911
0.23000,0.00335,0.91381,88.41776,-0.79498,0.05524,0.35128,0.26704,-0.06723,0.25443,0.38109
0.24000,0.01303,1.00872,88.40957,-0.83923,0.05921,0.43680,0.26641,-0.05648,0.25805,0.33499
0.25000,0.02352,1.07426,88.40097,-0.87624,0.06398,0.50704,0.26591,-0.04111,0.26113,0.27267
0.26000,0.03451,1.10416,88.39204,-0.90408,0.06935,0.55641,0.26559,-0.02306,0.26351,0.19567
0.27000,0.04561,1.09453,88.38289,-0.91972,0.07510,0.58168,0.26545,-0.00582,0.26504,0.10525
0.28000,0.05640,1.04429,88.37365,-0.91972,0.08099,0.58252,0.26547,0.00657,0.26561,0.00284
0.29000,0.06649,0.95531,88.36449,-0.90179,0.08676,0.56166,0.26558,0.01063,0.26510,-0.10936
0.30000,0.07551,0.83268,88.35561,-0.86174,0.09222,0.52442,0.26568,0.00399,0.26343,-0.22787
0.31000,0.08315,0.68468,88.34726,-0.79727,0.09724,0.47766,0.26566,-0.01431,0.26054,-0.34778
0.32000,0.08920,0.52256,88.33967,-0.70724,0.10177,0.42815,0.26540,-0.04390,0.25647,-0.46291
0.33000,0.09360,0.35962,88.33311,-0.59242,0.10581,0.38118,0.26478,-0.08298,0.25129,-0.56646
0.34000,0.09640,0.20950,88.32782,-0.45738,0.10940,0.33963,0.26374,-0.12823,0.24514,-0.65181
0.35000,0.09779,0.08393,88.32397,-0.30670,0.11260,0.30400,0.26222,-0.17484,0.23825,-0.71357
0.36000,0.09807,-0.00941,88.32169,-0.14839,0.11548,0.27312,0.26024,-0.21700,0.23087,-0.74843
0.37000,0.09760,-0.06811,88.32100,0.00916,0.11806,0.24525,0.25788,-0.24906,0.22328,-0.75578
0.38000,0.09671,-0.09489,88.32187,0.15907,0.12038,0.21927,0.25526,-0.26694,0.21575,-0.73798
0.39000,0.09570,-0.09611,88.32418,0.29488,0.12245,0.19561,0.25254,-0.26939,0.20852,-0.70004
0.40000,0.09479,-0.07961,88.32777,0.41122,0.12429,0.17658,0.24987,-0.25836,0.20175,-0.64880
0.41000,0.09411,-0.05255,88.33241,0.50545,0.12598,0.16589,0.24737,-0.23842,0.19555,-0.59174
0.42000,0.09374,-0.01982,88.33788,0.57716,0.12761,0.16756,0.24510,-0.21546,0.18992,-0.53561
0.43000,0.09371,0.01683,88.34395,0.62752,0.12933,0.18445,0.24306,-0.19511,0.18483,-0.48537
0.44000,0.09407,0.05870,88.35043,0.65918,0.13130,0.21707,0.24120,-0.18147,0.18021,-0.44357
0.45000,0.09489,0.10927,88.35713,0.67482,0.13367,0.26291,0.23943,-0.17638,0.17596,-0.41054
0.46000,0.09626,0.17263,88.36392,0.67749,0.13656,0.31669,0.23767,-0.17926,0.17200,-0.38503
0.47000,0.09834,0.25194,88.37068,0.66948,0.14000,0.37121,0.23585,-0.18761,0.16826,-0.36511
0.48000,0.10130,0.34794,88.37731,0.65117,0.14398,0.41873,0.23392,-0.19776,0.16470,-0.34893
0.49000,0.10530,0.45821,88.38371,0.62294,0.14838,0.45249,0.23189,-0.20560,0.16128,-0.33507
0.50000,0.11046,0.57694,88.38977,0.58632,0.15303,0.46805,0.22981,-0.20726,0.15800,-0.32248
0.51000,0.11684,0.69546,88.39543,0.54131,0.15774,0.46432,0.22775,-0.19958,0.15483,-0.31012
0.52000,0.12437,0.80349,88.40060,0.48790,0.16232,0.44382,0.22582,-0.18064,0.15179,-0.29673
0.53000,0.13291,0.89070,88.40519,0.42877,0.16662,0.41203,0.22413,-0.15020,0.14890,-0.28075
0.54000,0.14219,0.94842,88.40917,0.36507,0.17056,0.37630,0.22281,-0.10998,0.14618,-0.26070
0.55000,0.15188,0.97104,88.41249,0.29716,0.17414,0.34427,0.22193,-0.06359,0.14368,-0.23582
0.56000,0.16161,0.95691,88.41512,0.22697,0.17744,0.32270,0.22154,-0.01626,0.14146,-0.20663
0.57000,0.17101,0.90858,88.41703,0.15450,0.18060,0.31660,0.22161,0.02585,0.13955,-0.17529
0.58000,0.17978,0.83266,88.41821,0.08087,0.18378,0.32891,0.22206,0.05649,0.13796,-0.14546
0.59000,0.18767,0.73927,88.41865,0.00801,0.18717,0.36062,0.22274,0.07025,0.13664,-0.12158
0.60000,0.19456,0.64128,88.41837,-0.06065,0.19099,0.41094,0.22346,0.06335,0.13553,-0.10775
0.61000,0.20049,0.55302,88.41743,-0.12054,0.19539,0.47767,0.22401,0.03423,0.13449,-0.10654
0.62000,0.20562,0.48873,88.41595,-0.16823,0.20054,0.55744,0.22415,-0.01620,0.13339,-0.11820
0.63000,0.21027,0.46029,88.41407,-0.19989,0.20654,0.64593,0.22368,-0.08459,0.13212,-0.14045
0.64000,0.21483,0.47502,88.41196,-0.21286,0.21346,0.73819,0.22246,-0.16551,0.13059,-0.16923
0.65000,0.21977,0.53398,88.40981,-0.20866,0.22131,0.82891,0.22037,-0.25220,0.12874,-0.19984
0.66000,0.22551,0.63143,88.40778,-0.19035,0.23004,0.91287,0.21741,-0.33743,0.12659,-0.22818
0.67000,0.23240,0.75578,88.40601,-0.16251,0.23956,0.98518,0.21362,-0.41439,0.12418,-0.25144
0.68000,0.24063,0.89168,88.40453,-0.13428,0.24974,1.04136,0.20912,-0.47740,0.12156,-0.26809
0.69000,0.25023,1.02295,88.40332,-0.11253,0.26039,1.07737,0.20408,-0.52237,0.11881,-0.27730
0.70000,0.26108,1.13548,88.40228,-0.10338,0.27129,1.08980,0.19868,-0.54719,0.11601,-0.27836
0.71000,0.27294,1.21944,88.40125,-0.11330,0.28219,1.07632,0.19313,-0.55180,0.11325,-0.27034
0.72000,0.28547,1.27029,88.40002,-0.14381,0.29282,1.03636,0.18764,-0.53817,0.11061,-0.25214
0.73000,0.29835,1.28854,88.39838,-0.19493,0.30291,0.97171,0.18237,-0.50981,0.10820,-0.22288
0.74000,0.31124,1.27839,88.39612,-0.26321,0.31225,0.88677,0.17744,-0.47104,0.10615,-0.18227
0.75000,0.32391,1.24576,88.39311,-0.34294,0.32065,0.78831,0.17295,-0.42604,0.10456,-0.13075
0.76000,0.33616,1.19641,88.38926,-0.42725,0.32802,0.68471,0.16892,-0.37791,0.10353,-0.06949
0.77000,0.34784,1.13464,88.38457,-0.50621,0.33434,0.58462,0.16539,-0.32827,0.10317,-0.00017
0.78000,0.35885,1.06303,88.37914,-0.57030,0.33971,0.49553,0.16236,-0.27755,0.10353,0.07502
0.79000,0.36910,0.98301,88.37316,-0.60959,0.34425,0.42257,0.15984,-0.22590,0.10467,0.15333
0.80000,0.37851,0.89573,88.36694,-0.61760,0.34816,0.36771,0.15784,-0.17423,0.10660,0.23144
0.81000,0.38702,0.80277,88.36081,-0.59052,0.35161,0.32967,0.15635,-0.12478,0.10930,0.30558
0.82000,0.39457,0.70641,88.35513,-0.52681,0.35475,0.30439,0.15534,-0.08092,0.11271,0.37215
0.83000,0.40114,0.60944,88.35027,-0.42915,0.35770,0.28583,0.15473,-0.04626,0.11674,0.42836
0.84000,0.40676,0.51454,88.34655,-0.29984,0.36047,0.26704,0.15442,-0.02354,0.12128,0.47291
0.85000,0.41144,0.42368,88.34428,-0.14305,0.36304,0.24131,0.15426,-0.01386,0.12620,0.50594
0.86000,0.41523,0.33780,88.34369,0.03624,0.36530,0.20326,0.15414,-0.01630,0.13140,0.52850
0.87000,0.41819,0.25674,88.34500,0.23499,0.36710,0.14981,0.15394,-0.02825,0.13677,0.54144
0.88000,0.42036,0.17971,88.34839,0.44823,0.36829,0.08069,0.15358,-0.04598,0.14222,0.54453
0.89000,0.42179,0.10595,88.35397,0.66948,0.36872,-0.00171,0.15302,-0.06549,0.14766,0.53614
0.90000,0.42248,0.03552,88.36178,0.89417,0.36826,-0.09315,0.15227,-0.08312,0.15295,0.51380
