Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,0.13457,0.33579,90.47869,-0.60692,-0.01900,-0.10941,-0.09583,0.07112,-0.18405,-0.37290
0.01000,0.13719,0.33579,90.47311,-0.60692,-0.02018,-0.10941,-0.09549,0.07112,-0.18734,-0.37290
0.02000,0.14129,0.49228,90.46655,-0.70000,-0.02119,-0.08408,-0.09441,0.14954,-0.19151,-0.45909
0.03000,0.14704,0.66459,90.45911,-0.78163,-0.02186,-0.04095,-0.09249,0.23601,-0.19652,-0.53816
0.04000,0.15458,0.84370,90.45092,-0.85144,-0.02200,0.02091,-0.08969,0.32337,-0.20227,-0.60367
0.05000,0.16391,1.01813,90.44209,-0.90904,-0.02144,0.10041,-0.08603,0.40308,-0.20859,-0.64971
0.06000,0.17494,1.17500,90.43274,-0.95711,-0.02000,0.19401,-0.08163,0.46663,-0.21526,-0.67155
0.07000,0.18741,1.30158,90.42294,-0.99869,-0.01756,0.29569,-0.07669,0.50722,-0.22202,-0.66614
0.08000,0.20097,1.38710,90.41277,-1.03645,-0.01408,0.39744,-0.07148,0.52113,-0.22859,-0.63258
0.09000,0.21516,1.42429,90.40221,-1.07307,-0.00961,0.49039,-0.06627,0.50850,-0.23467,-0.57253
0.10000,0.22946,1.41025,90.39130,-1.10855,-0.00427,0.56613,-0.06131,0.47345,-0.24004,-0.49029
0.11000,0.24336,1.34672,90.38004,-1.14212,0.00171,0.61809,-0.05680,0.42338,-0.24448,-0.39247
0.12000,0.25639,1.23969,90.36846,-1.17073,0.00809,0.64250,-0.05285,0.36781,-0.24789,-0.28720
0.13000,0.26815,1.09872,90.35663,-1.19171,0.01456,0.63888,-0.04945,0.31677,-0.25022,-0.18275
0.14000,0.27837,0.93617,90.34463,-1.20354,0.02086,0.61002,-0.04651,0.27911,-0.25154,-0.08621
0.15000,0.28688,0.76619,90.33256,-1.20544,0.02676,0.56158,-0.04386,0.26092,-0.25195,-0.00221
0.16000,0.29369,0.60335,90.32052,-1.19629,0.03210,0.50139,-0.04129,0.26451,-0.25159,0.06777
0.17000,0.29894,0.46089,90.30863,-1.17683,0.03679,0.43852,-0.03857,0.28803,-0.25059,0.12538
0.18000,0.30291,0.34862,90.29698,-1.14861,0.04087,0.38226,-0.03553,0.32599,-0.24908,0.17469
0.19000,0.30592,0.27101,90.28566,-1.11351,0.04444,0.34102,-0.03205,0.37049,-0.24710,0.22088
0.20000,0.30833,0.22602,90.27471,-1.07422,0.04769,0.32125,-0.02812,0.41262,-0.24466,0.26883
0.21000,0.31044,0.20518,90.26418,-1.03340,0.05086,0.32655,-0.02380,0.44391,-0.24172,0.32184
0.22000,0.31243,0.19543,90.25404,-0.99411,0.05422,0.35709,-0.01924,0.45757,-0.23822,0.38095
0.23000,0.31435,0.18214,90.24429,-0.95940,0.05800,0.40949,-0.01465,0.44929,-0.23410,0.44496
0.24000,0.31607,0.15271,90.23486,-0.93384,0.06241,0.47707,-0.01026,0.41768,-0.22932,0.51113
0.25000,0.31740,0.09971,90.22562,-0.91972,0.06754,0.55073,-0.00630,0.36417,-0.22388,0.57601
0.26000,0.31807,0.02263,90.21646,-0.91782,0.07342,0.62015,-0.00297,0.29252,-0.21780,0.63620
0.27000,0.31785,-0.07207,90.20726,-0.92888,0.07995,0.67531,-0.00045,0.20802,-0.21116,0.68883
0.28000,0.31663,-0.17279,90.19788,-0.95139,0.08693,0.70791,0.00119,0.11671,-0.20403,0.73163
0.29000,0.31440,-0.26569,90.18823,-0.98076,0.09411,0.71238,0.00189,0.02483,-0.19652,0.76302
0.30000,0.31131,-0.33816,90.17827,-1.01204,0.10118,0.68648,0.00168,-0.06156,-0.18877,0.78206
0.31000,0.30763,-0.38189,90.16799,-1.04141,0.10783,0.63137,0.00066,-0.13674,-0.18088,0.78838
0.32000,0.30368,-0.39472,90.15744,-1.06277,0.11380,0.55123,-0.00105,-0.19560,-0.17300,0.78214
0.33000,0.29974,-0.38085,90.14674,-1.07193,0.11886,0.45249,-0.00326,-0.23411,-0.16524,0.76402
0.34000,0.29606,-0.34921,90.13600,-1.06735,0.12285,0.34252,-0.00573,-0.24979,-0.15772,0.73533
0.35000,0.29276,-0.31078,90.12539,-1.04866,0.12571,0.22837,-0.00825,-0.24220,-0.15053,0.69831
0.36000,0.28984,-0.27546,90.11503,-1.01891,0.12742,0.11555,-0.01058,-0.21311,-0.14375,0.65637
0.37000,0.28725,-0.24978,90.10501,-0.98190,0.12802,0.00742,-0.01251,-0.16639,-0.13741,0.61400
0.38000,0.28485,-0.23594,90.09539,-0.94261,0.12757,-0.09482,-0.01391,-0.10750,-0.13147,0.57633
0.39000,0.28253,-0.23226,90.08616,-0.90561,0.12612,-0.19177,-0.01466,-0.04286,-0.12588,0.54807
0.40000,0.28020,-0.23462,90.07728,-0.87357,0.12373,-0.28510,-0.01476,0.02086,-0.12051,0.53232
0.41000,0.27783,-0.23825,90.06869,-0.84763,0.12042,-0.37685,-0.01425,0.07736,-0.11523,0.52952
0.42000,0.27544,-0.23919,90.06033,-0.82779,0.11620,-0.46865,-0.01322,0.12116,-0.10992,0.53703
0.43000,0.27305,-0.23510,90.05213,-0.81253,0.11105,-0.56114,-0.01182,0.14805,-0.10449,0.54959
0.44000,0.27074,-0.22521,90.04408,-0.79918,0.10497,-0.65339,-0.01026,0.15559,-0.09893,0.56064
0.45000,0.26855,-0.20977,90.03615,-0.78545,0.09798,-0.74275,-0.00871,0.14350,-0.09328,0.56404
0.46000,0.26654,-0.18909,90.02837,-0.76866,0.09012,-0.82490,-0.00738,0.11394,-0.08765,0.55579
0.47000,0.26477,-0.16278,90.02077,-0.74615,0.08148,-0.89425,-0.00643,0.07134,-0.08216,0.53503
0.48000,0.26328,-0.12964,90.01344,-0.71640,0.07223,-0.94467,-0.00596,0.02192,-0.07695,0.50410
0.49000,0.26217,-0.08835,90.00645,-0.68016,0.06259,-0.97047,-0.00599,-0.02730,-0.07208,0.46766
0.50000,0.26152,-0.03862,89.99984,-0.63820,0.05282,-0.96744,-0.00650,-0.06961,-0.06759,0.43117
0.51000,0.26140,0.01767,89.99368,-0.59319,0.04324,-0.93369,-0.00739,-0.09961,-0.06346,0.39916
0.52000,0.26187,0.07595,89.98798,-0.54779,0.03415,-0.86999,-0.00850,-0.11383,-0.05961,0.37384
0.53000,0.26292,0.12941,89.98273,-0.50392,0.02584,-0.77959,-0.00966,-0.11100,-0.05598,0.35444
0.54000,0.26446,0.17039,89.97790,-0.46349,0.01856,-0.66766,-0.01072,-0.09189,-0.05252,0.33750
0.55000,0.26633,0.19224,89.97346,-0.42496,0.01249,-0.54075,-0.01150,-0.05903,-0.04923,0.31793
0.56000,0.26830,0.19116,89.96940,-0.38681,0.00774,-0.40624,-0.01190,-0.01640,-0.04616,0.29049
0.57000,0.27015,0.16745,89.96572,-0.34676,0.00436,-0.27207,-0.01183,0.03091,-0.04342,0.25125
0.58000,0.27165,0.12570,89.96246,-0.30251,0.00230,-0.14662,-0.01128,0.07708,-0.04114,0.19860
0.59000,0.27266,0.07403,89.95967,-0.25368,0.00143,-0.03853,-0.01029,0.11604,-0.03945,0.13350
0.60000,0.27313,0.02241,89.95739,-0.20065,0.00153,0.04351,-0.00896,0.14220,-0.03847,0.05903
0.61000,0.27311,-0.01942,89.95566,-0.14687,0.00230,0.09144,-0.00744,0.15131,-0.03827,-0.02061
0.62000,0.27274,-0.04385,89.95445,-0.09575,0.00336,0.09896,-0.00593,0.14148,-0.03888,-0.10102
0.63000,0.27224,-0.04669,89.95374,-0.04921,0.00428,0.06297,-0.00461,0.11388,-0.04029,-0.17813
0.64000,0.27181,-0.02749,89.95347,-0.01144,0.00462,-0.01508,-0.00365,0.07284,-0.04244,-0.24835
0.65000,0.27169,0.01105,89.95351,0.01564,0.00398,-0.12855,-0.00316,0.02515,-0.04526,-0.30829
0.66000,0.27203,0.06431,89.95378,0.03090,0.00205,-0.26585,-0.00315,-0.02133,-0.04861,-0.35473
0.67000,0.27297,0.12690,89.95413,0.03128,-0.00134,-0.41173,-0.00358,-0.05923,-0.05235,-0.38494
0.68000,0.27457,0.19368,89.95441,0.01564,-0.00619,-0.54947,-0.00434,-0.08286,-0.05631,-0.39710
0.69000,0.27684,0.26034,89.95444,-0.01755,-0.01233,-0.66356,-0.00524,-0.08895,-0.06029,-0.39069
0.70000,0.27978,0.32369,89.95406,-0.06981,-0.01946,-0.74226,-0.00611,-0.07671,-0.06412,-0.36649
0.71000,0.28332,0.38189,89.95305,-0.13885,-0.02717,-0.77948,-0.00678,-0.04775,-0.06762,-0.32637
0.72000,0.28741,0.43420,89.95128,-0.22087,-0.03505,-0.77537,-0.00707,-0.00554,-0.07065,-0.27307
0.73000,0.29200,0.48053,89.94863,-0.31128,-0.04268,-0.73549,-0.00689,0.04509,-0.07308,-0.20994
0.74000,0.29702,0.52059,89.94505,-0.40436,-0.04976,-0.66911,-0.00617,0.09876,-0.07485,-0.14085
0.75000,0.30241,0.55305,89.94054,-0.49438,-0.05606,-0.58703,-0.00491,0.15029,-0.07590,-0.07003
0.76000,0.30809,0.57503,89.93517,-0.57678,-0.06150,-0.49928,-0.00316,0.19555,-0.07625,-0.00186
0.77000,0.31392,0.58222,89.92901,-0.64697,-0.06605,-0.41321,-0.00100,0.23201,-0.07594,0.05952
0.78000,0.31973,0.56988,89.92223,-0.70152,-0.06976,-0.33221,0.00148,0.25918,-0.07506,0.11086
0.79000,0.32531,0.53413,89.91498,-0.73776,-0.07269,-0.25571,0.00418,0.27842,-0.07372,0.15031
0.80000,0.33041,0.47306,89.90747,-0.75188,-0.07487,-0.18019,0.00705,0.29222,-0.07205,0.17781
0.81000,0.33477,0.38728,89.89994,-0.74158,-0.07630,-0.10101,0.01003,0.30290,-0.07017,0.19495
0.82000,0.33816,0.27980,89.89264,-0.70610,-0.07690,-0.01456,0.01310,0.31107,-0.06815,0.20445
0.83000,0.34037,0.15562,89.88582,-0.64583,-0.07659,0.08019,0.01625,0.31472,-0.06608,0.20929
0.84000,0.34127,0.02124,89.87972,-0.56267,-0.07529,0.18075,0.01940,0.30926,-0.06397,0.21189
0.85000,0.34079,-0.11588,89.87457,-0.46120,-0.07297,0.28136,0.02243,0.28890,-0.06184,0.21348
0.86000,0.33895,-0.24788,89.87050,-0.34790,-0.06966,0.37407,0.02518,0.24876,-0.05970,0.21411
0.87000,0.33584,-0.36725,89.86761,-0.22812,-0.06549,0.45035,0.02741,0.18701,-0.05756,0.21309
0.88000,0.33161,-0.46747,89.86594,-0.10681,-0.06066,0.50272,0.02892,0.10599,-0.05544,0.20987
0.89000,0.32649,-0.54342,89.86547,0.01106,-0.05544,0.52591,0.02953,0.01209,-0.05336,0.20476
0.90000,0.32074,-0.59144,89.86616,0.12321,-0.05014,0.51737,0.02916,-0.08565,-0.05134,0.19933
0.91000,0.31466,-0.60930,89.86794,0.22736,-0.04509,0.47740,0.02782,-0.17744,-0.04937,0.19612
0.92000,0.30855,-0.59624,89.87070,0.32005,-0.04059,0.40894,0.02561,-0.25481,-0.04742,0.19788
0.93000,0.30273,-0.55324,89.87434,0.39940,-0.03691,0.31716,0.02272,-0.31215,-0.04541,0.20675
0.94000,0.29749,-0.48346,89.87869,0.46349,-0.03425,0.20896,0.01937,-0.34778,-0.04328,0.22352
0.95000,0.29307,-0.39250,89.88361,0.50888,-0.03273,0.09232,0.01576,-0.36419,-0.04094,0.24714
0.96000,0.28964,-0.28836,89.88887,0.53444,-0.03240,-0.02427,0.01208,-0.36734,-0.03834,0.27453
0.97000,0.28730,-0.18089,89.89429,0.54054,-0.03322,-0.13235,0.00842,-0.36520,-0.03545,0.30066
0.98000,0.28602,-0.08066,89.89968,0.52757,-0.03505,-0.22400,0.00478,-0.36575,-0.03233,0.31899
0.99000,0.28568,0.00255,89.90485,0.49820,-0.03770,-0.29239,0.00110,-0.37493,-0.02907,0.32244
1.00000,0.28607,0.06156,89.90965,0.45433,-0.04090,-0.33258,-0.00272,-0.39518,-0.02588,0.30475
1.01000,0.28692,0.09321,89.91393,0.39902,-0.04435,-0.34203,-0.00680,-0.42463,-0.02298,0.26197
1.02000,0.28794,0.09903,89.91763,0.33417,-0.04774,-0.32085,-0.01121,-0.45729,-0.02064,0.19355
1.03000,0.28890,0.08482,89.92062,0.26207,-0.05076,-0.27128,-0.01595,-0.48429,-0.01911,0.10277
1.04000,0.28963,0.05923,89.92287,0.18539,-0.05316,-0.19692,-0.02090,-0.49590,-0.01858,-0.00368
1.05000,0.29008,0.03205,89.92432,0.10605,-0.05470,-0.10166,-0.02586,-0.48409,-0.01918,-0.11670
1.06000,0.29027,0.01248,89.92499,0.02708,-0.05520,0.01094,-0.03058,-0.44454,-0.02092,-0.22610
1.07000,0.29033,0.00787,89.92487,-0.04959,-0.05448,0.13776,-0.03476,-0.37764,-0.02370,-0.32187
1.08000,0.29043,0.02290,89.92400,-0.12207,-0.05244,0.27586,-0.03813,-0.28810,-0.02736,-0.39529
1.09000,0.29079,0.05910,89.92242,-0.18921,-0.04897,0.42187,-0.04052,-0.18366,-0.03161,-0.43976
1.10000,0.29161,0.11471,89.92021,-0.25024,-0.04400,0.57143,-0.04181,-0.07332,-0.03615,-0.45136
1.11000,0.29308,0.18498,89.91742,-0.30632,-0.03754,0.71888,-0.04198,0.03436,-0.04064,-0.42919
1.12000,0.29531,0.26273,89.91409,-0.35934,-0.02963,0.85733,-0.04112,0.13244,-0.04473,-0.37559
1.13000,0.29834,0.33913,89.91023,-0.41122,-0.02039,0.97925,-0.03933,0.21624,-0.04815,-0.29615
1.14000,0.30210,0.40470,89.90586,-0.46387,-0.01004,1.07751,-0.03679,0.28337,-0.05066,-0.19933
1.15000,0.30643,0.45059,89.90096,-0.51727,0.00116,1.14641,-0.03367,0.33342,-0.05214,-0.09550
1.16000,0.31111,0.47000,89.89552,-0.57030,0.01289,1.18256,-0.03013,0.36734,-0.05257,0.00470
1.17000,0.31583,0.45929,89.88955,-0.62027,0.02481,1.18509,-0.02632,0.38686,-0.05204,0.09217
1.18000,0.32029,0.41851,89.88311,-0.66261,0.03659,1.15553,-0.02239,0.39382,-0.05072,0.16096
1.19000,0.32420,0.35088,89.87630,-0.69160,0.04792,1.09719,-0.01844,0.38976,-0.04882,0.20892
1.20000,0.32731,0.26146,89.86928,-0.70152,0.05853,1.01457,-0.01459,0.37567,-0.04655,0.23724
1.21000,0.32943,0.15542,89.86227,-0.68779,0.06821,0.91284,-0.01093,0.35212,-0.04408,0.24918
1.22000,0.33042,0.03655,89.85552,-0.64621,0.07679,0.79737,-0.00755,0.31957,-0.04156,0.24840
1.23000,0.33016,-0.09329,89.84934,-0.57640,0.08416,0.67353,-0.00454,0.27861,-0.03911,0.23781
1.24000,0.32855,-0.23366,89.84399,-0.48065,0.09026,0.54658,-0.00198,0.23007,-0.03681,0.21920
1.25000,0.32549,-0.38418,89.83973,-0.36240,0.09509,0.42161,6.220442446647212e-05,0.17518,-0.03473,0.19363
1.26000,0.32087,-0.54294,89.83675,-0.22736,0.09869,0.30345,0.00153,0.11567,-0.03293,0.16243
1.27000,0.31463,-0.70551,89.83518,-0.08278,0.10116,0.19657,0.00238,0.05411,-0.03148,0.12799
1.28000,0.30676,-0.86500,89.83509,0.06447,0.10262,0.10485,0.00261,-0.00587,-0.03037,0.09428
1.29000,0.29733,-1.01316,89.83647,0.20828,0.10326,0.03146,0.00226,-0.05972,-0.02959,0.06640
1.30000,0.28650,-1.14223,89.83926,0.34180,0.10325,-0.02132,0.00141,-0.10250,-0.02905,0.04957
1.31000,0.27449,-1.24678,89.84331,0.46005,0.10283,-0.05216,0.00021,-0.12988,-0.02860,0.04767
1.32000,0.26156,-1.32488,89.84846,0.55809,0.10221,-0.06090,-0.00118,-0.13922,-0.02809,0.06195
1.33000,0.24799,-1.37807,89.85447,0.63171,0.10161,-0.04876,-0.00258,-0.13042,-0.02736,0.09049
1.34000,0.23400,-1.40998,89.86109,0.67902,0.10124,-0.01863,-0.00379,-0.10635,-0.02628,0.12845
1.35000,0.21979,-1.42447,89.86805,0.69962,0.10124,0.02464,-0.00470,-0.07266,-0.02479,0.16924
1.36000,0.20551,-1.42380,89.87508,0.69580,0.10173,0.07416,-0.00525,-0.03689,-0.02290,0.20602
1.37000,0.19131,-1.40797,89.88197,0.67101,0.10272,0.12112,-0.00544,-0.00685,-0.02067,0.23321
1.38000,0.17735,-1.37523,89.88850,0.63210,0.10415,0.15536,-0.00538,0.01144,-0.01823,0.24742
1.39000,0.16381,-1.32389,89.89461,0.58823,0.10583,0.16641,-0.00521,0.01568,-0.01572,0.24789
1.40000,0.15087,-1.25432,89.90027,0.54703,0.10748,0.14489,-0.00507,0.00814,-0.01328,0.23623
1.41000,0.13872,-1.17061,89.90555,0.51651,0.10873,0.08416,-0.00505,-0.00490,-0.01100,0.21583
1.42000,0.12746,-1.08095,89.91060,0.50087,0.10916,-0.01811,-0.00517,-0.01533,-0.00896,0.19081
1.43000,0.11710,-0.99658,89.91557,0.50240,0.10837,-0.15889,-0.00536,-0.01591,-0.00718,0.16494
1.44000,0.10753,-0.92934,89.92065,0.52071,0.10598,-0.32962,-0.00549,-0.00270,-0.00566,0.14074
1.45000,0.09851,-0.88861,89.92598,0.55275,0.10177,-0.51717,-0.00541,0.02375,-0.00437,0.11915
1.46000,0.08976,-0.87850,89.93170,0.59662,0.09564,-0.70572,-0.00501,0.05874,-0.00328,0.09989
1.47000,0.08094,-0.89644,89.93791,0.64888,0.08766,-0.87916,-0.00424,0.09512,-0.00237,0.08242
1.48000,0.07183,-0.93368,89.94468,0.70610,0.07806,-1.02336,-0.00311,0.12551,-0.00163,0.06684
1.49000,0.06227,-0.97766,89.95203,0.76485,0.06719,-1.12786,-0.00172,0.14442,-0.00103,0.05417
1.50000,0.05228,-1.01528,89.95998,0.81978,0.05550,-1.18666,-0.00022,0.14963,-0.00055,0.04608
1.51000,0.04197,-1.03613,89.96843,0.86517,0.04346,-1.19823,0.00127,0.14253,-0.00011,0.04400
1.52000,0.03155,-1.03428,89.97728,0.89645,0.03154,-1.16503,0.00263,0.12739,0.00033,0.04855
1.53000,0.02128,-1.00842,89.98636,0.90866,0.02016,-1.09278,0.00382,0.10985,0.00086,0.05935
1.54000,0.01138,-0.96052,89.99545,0.89912,0.00968,-0.98971,0.00483,0.09512,0.00152,0.07544
1.55000,0.00207,-0.89396,90.00434,0.86708,0.00036,-0.86574,0.00572,0.08670,0.00237,0.09582
1.56000,-0.00650,-0.81216,90.01279,0.81482,-0.00763,-0.73173,0.00656,0.08594,0.00344,0.11975
1.57000,-0.01417,-0.71837,90.02064,0.74654,-0.01427,-0.59873,0.00744,0.09254,0.00476,0.14657
1.58000,-0.02086,-0.61627,90.02773,0.66681,-0.01961,-0.47739,0.00841,0.10544,0.00637,0.17512
1.59000,-0.02650,-0.51080,90.03397,0.58174,-0.02382,-0.37725,0.00955,0.12361,0.00827,0.20306
