Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.84313,1.40596,90.53979,-1.03607,-0.28178,-0.28655,-0.05608,0.66529,-0.40757,0.47340
0.01000,-0.83007,1.40596,90.53012,-1.03607,-0.28427,-0.28655,-0.04942,0.66529,-0.40310,0.47340
0.02000,-0.81501,1.59298,90.51907,-1.16272,-0.28751,-0.36139,-0.04278,0.64462,-0.39810,0.51988
0.03000,-0.79821,1.75212,90.50687,-1.26114,-0.29150,-0.43325,-0.03653,0.58745,-0.39270,0.55250
0.04000,-0.77997,1.87853,90.49384,-1.32561,-0.29618,-0.49666,-0.03103,0.49910,-0.38705,0.57089
0.05000,-0.76064,1.96979,90.48035,-1.35269,-0.30143,-0.54583,-0.02655,0.38964,-0.38128,0.57644
0.06000,-0.74057,2.02506,90.46679,-1.34125,-0.30709,-0.57494,-0.02323,0.27212,-0.37552,0.57156
0.07000,-0.72014,2.04410,90.45353,-1.29128,-0.31293,-0.57861,-0.02110,0.16006,-0.36985,0.55889
0.08000,-0.69969,2.02675,90.44096,-1.20506,-0.31867,-0.55232,-0.02003,0.06477,-0.36434,0.54055
0.09000,-0.67960,1.97292,90.42943,-1.08757,-0.32398,-0.49292,-0.01981,-0.00669,-0.35904,0.51790
0.10000,-0.66023,1.88293,90.41921,-0.94490,-0.32852,-0.39895,-0.02017,-0.05231,-0.35398,0.49154
0.11000,-0.64194,1.75823,90.41053,-0.78583,-0.33196,-0.27099,-0.02085,-0.07466,-0.34921,0.46165
0.12000,-0.62507,1.60213,90.40350,-0.61913,-0.33394,-0.11194,-0.02166,-0.07922,-0.34475,0.42829
0.13000,-0.60990,1.42019,90.39815,-0.45242,-0.33420,0.07284,-0.02244,-0.07224,-0.34064,0.39173
0.14000,-0.59666,1.22009,90.39445,-0.29411,-0.33249,0.27556,-0.02311,-0.05886,-0.33691,0.35265
0.15000,-0.58550,1.01083,90.39227,-0.15106,-0.32868,0.48630,-0.02362,-0.04204,-0.33359,0.31221
0.16000,-0.57645,0.80157,90.39143,-0.02823,-0.32276,0.69371,-0.02395,-0.02263,-0.33067,0.27190
0.17000,-0.56947,0.60038,90.39170,0.07172,-0.31481,0.88611,-0.02407,-0.00036,-0.32815,0.23320
0.18000,-0.56444,0.41353,90.39286,0.14725,-0.30504,1.05279,-0.02395,0.02479,-0.32601,0.19719
0.19000,-0.56120,0.24529,90.39465,0.19875,-0.29375,1.18546,-0.02357,0.05154,-0.32421,0.16422
0.20000,-0.55953,0.09837,90.39684,0.23003,-0.28133,1.27917,-0.02292,0.07705,-0.32272,0.13380
0.21000,-0.55923,-0.02530,90.39925,0.24605,-0.26817,1.33274,-0.02203,0.09753,-0.32153,0.10480
0.22000,-0.56004,-0.12392,90.40176,0.25291,-0.25468,1.34855,-0.02097,0.10945,-0.32063,0.07583
0.23000,-0.56171,-0.19567,90.40430,0.25711,-0.24120,1.33176,-0.01984,0.11071,-0.32001,0.04582
0.24000,-0.56395,-0.23923,90.40690,0.26627,-0.22804,1.28929,-0.01876,0.10112,-0.31971,0.01448
0.25000,-0.56649,-0.25451,90.40963,0.28572,-0.21541,1.22859,-0.01782,0.08222,-0.31972,-0.01746
0.26000,-0.56904,-0.24350,90.41261,0.31815,-0.20347,1.15645,-0.01711,0.05655,-0.32006,-0.04845
0.27000,-0.57136,-0.21042,90.41599,0.36507,-0.19229,1.07805,-0.01669,0.02687,-0.32069,-0.07675
0.28000,-0.57325,-0.16128,90.41991,0.42381,-0.18191,0.99627,-0.01658,-0.00436,-0.32159,-0.10109
0.29000,-0.57459,-0.10270,90.42447,0.48752,-0.17236,0.91157,-0.01678,-0.03503,-0.32272,-0.12103
0.30000,-0.57531,-0.04058,90.42966,0.54779,-0.16368,0.82246,-0.01728,-0.06318,-0.32401,-0.13697
0.31000,-0.57540,0.02091,90.43542,0.59547,-0.15591,0.72654,-0.01804,-0.08660,-0.32545,-0.14963
0.32000,-0.57489,0.07964,90.44157,0.62065,-0.14915,0.62189,-0.01901,-0.10257,-0.32701,-0.15973
0.33000,-0.57381,0.13527,90.44784,0.61531,-0.14347,0.50839,-0.02009,-0.10813,-0.32865,-0.16771
0.34000,-0.57218,0.18841,90.45388,0.57487,-0.13898,0.38876,-0.02117,-0.10073,-0.33036,-0.17398
0.35000,-0.57004,0.23966,90.45934,0.49744,-0.13570,0.26873,-0.02211,-0.07901,-0.33213,-0.17916
0.36000,-0.56739,0.28881,90.46383,0.38528,-0.13360,0.15654,-0.02275,-0.04352,-0.33394,-0.18411
0.37000,-0.56426,0.33448,90.46704,0.24452,-0.13257,0.06153,-0.02298,0.00293,-0.33581,-0.18967
0.38000,-0.56070,0.37439,90.46872,0.08392,-0.13237,-0.00767,-0.02269,0.05545,-0.33774,-0.19616
0.39000,-0.55677,0.40613,90.46872,-0.08430,-0.13272,-0.04495,-0.02187,0.10771,-0.33973,-0.20289
