Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,6.76216,-2.08507,91.27728,-1.31683,3.65681,0.03158,6.64920,2.13583,-16.00478,-0.47350
0.01000,6.74183,-2.08507,91.26498,-1.31683,3.65721,0.03158,6.66833,2.13583,-16.00955,-0.47350
0.02000,6.72045,-2.14186,91.25094,-1.46942,3.65744,-0.00198,6.69191,2.56910,-16.01425,-0.45471
0.03000,6.69899,-2.10154,91.23560,-1.56708,3.65717,-0.07595,6.71971,2.96252,-16.01864,-0.41695
0.04000,6.67842,-1.96450,91.21960,-1.59492,3.65592,-0.20206,6.75116,3.28708,-16.02258,-0.36736
0.05000,6.65970,-1.73941,91.20370,-1.54343,3.65313,-0.38882,6.78545,3.51613,-16.02599,-0.31576
0.06000,6.64364,-1.44091,91.18873,-1.40686,3.64815,-0.63919,6.82149,3.62787,-16.02890,-0.27275
0.07000,6.63088,-1.08693,91.17556,-1.18446,3.64034,-0.94901,6.85801,3.60785,-16.03145,-0.24786
0.08000,6.62190,-0.69656,91.16504,-0.88196,3.62916,-1.30664,6.89364,3.45097,-16.03386,-0.24805
0.09000,6.61695,-0.28825,91.15792,-0.50850,3.61421,-1.69361,6.92703,3.16296,-16.03641,-0.27647
0.10000,6.61613,0.12155,91.15487,-0.07591,3.59529,-2.08656,6.95690,2.75979,-16.03939,-0.33264
0.11000,6.61938,0.51918,91.15640,0.40054,3.57248,-2.45991,6.98222,2.26507,-16.04306,-0.41389
0.12000,6.62652,0.89426,91.16288,0.90446,3.54609,-2.78863,7.00220,1.70572,-16.04766,-0.51546
0.13000,6.63727,1.23923,91.17449,1.41830,3.51671,-3.05079,7.01634,1.10729,-16.05337,-0.63152
0.14000,6.65130,1.54841,91.19125,1.92451,3.48508,-3.22919,7.02435,0.49081,-16.06030,-0.75626
0.15000,6.66823,1.81699,91.21298,2.40746,3.45212,-3.31193,7.02615,-0.12791,-16.06849,-0.88358
0.16000,6.68764,2.04036,91.23940,2.85110,3.41884,-3.29245,7.02179,-0.73664,-16.07797,-1.00775
0.17000,6.70904,2.21450,91.27000,3.23944,3.38627,-3.16910,7.01142,-1.32394,-16.08865,-1.12333
0.18000,6.73193,2.33676,91.30418,3.55873,3.35546,-2.94474,6.99531,-1.87705,-16.10043,-1.22576
0.19000,6.75578,2.40722,91.34118,3.79715,3.32738,-2.62679,6.97388,-2.38118,-16.11316,-1.31130
0.20000,6.78007,2.42932,91.38013,3.94325,3.30292,-2.22726,6.94769,-2.82063,-16.12666,-1.37720
0.21000,6.80436,2.40977,91.42004,3.98674,3.28283,-1.76287,6.91747,-3.18155,-16.14071,-1.42231
0.22000,6.82827,2.35758,91.45986,3.91998,3.26767,-1.25488,6.88406,-3.45492,-16.15511,-1.44749
0.23000,6.85151,2.28231,91.49844,3.73955,3.25774,-0.72820,6.84837,-3.63903,-16.16966,-1.45559
0.24000,6.87392,2.19257,91.53465,3.44658,3.25310,-0.20963,6.81128,-3.73991,-16.18422,-1.45140
0.25000,6.89537,2.09475,91.56738,3.04604,3.25354,0.27478,6.77357,-3.76933,-16.19869,-1.44043
0.26000,6.91581,1.99285,91.59557,2.54974,3.25860,0.70271,6.73589,-3.74060,-16.21303,-1.42727
0.27000,6.93522,1.88904,91.61837,1.97372,3.26760,1.05840,6.69876,-3.66306,-16.22723,-1.41430
0.28000,6.95359,1.78428,91.63505,1.33476,3.27976,1.33468,6.66263,-3.53711,-16.24131,-1.39999
0.29000,6.97091,1.67885,91.64507,0.65193,3.29429,1.53414,6.62802,-3.35026,-16.25523,-1.37892
0.30000,6.98717,1.57275,91.64809,-0.05493,3.31045,1.66887,6.59562,-3.07567,-16.26889,-1.34192
0.31000,7.00236,1.46561,91.64397,-0.76942,3.32767,1.75885,6.56650,-2.67296,-16.28207,-1.27621
0.32000,7.01648,1.35670,91.63270,-1.47705,3.34562,1.82914,6.54217,-2.09124,-16.29441,-1.16644
0.33000,7.02950,1.24526,91.61443,-2.16637,3.36425,1.90628,6.52468,-1.27373,-16.30540,-0.99411
0.34000,7.04139,1.13034,91.58937,-2.83051,3.38375,2.01466,6.51669,-0.16346,-16.31430,-0.73862
0.35000,7.05210,1.01120,91.55782,-3.46642,3.40454,2.17335,6.52141,1.29075,-16.32017,-0.37880
