Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.18547,-0.06852,57.29270,0.10910,45.72117,-0.16994,-135.21509,-0.46692,93.28137,0.07515
0.01000,-0.18608,-0.06852,57.29354,0.10910,45.71952,-0.16994,-135.21944,-0.46692,93.28208,0.07515
0.02000,-0.18684,-0.08425,57.29488,0.16384,45.71777,-0.17452,-135.22443,-0.52795,93.28288,0.08316
0.03000,-0.18776,-0.10135,57.29681,0.22526,45.71603,-0.17109,-135.23000,-0.58060,93.28374,0.09079
0.04000,-0.18887,-0.12092,57.29939,0.29068,45.71435,-0.15984,-135.23604,-0.62256,93.28469,0.09880
0.05000,-0.19018,-0.14499,57.30263,0.35667,45.71283,-0.14133,-135.24245,-0.65460,93.28572,0.10834
0.06000,-0.19177,-0.17603,57.30652,0.41981,45.71152,-0.11692,-135.24913,-0.67749,93.28686,0.12054
0.07000,-0.19370,-0.21600,57.31102,0.47646,45.71049,-0.08850,-135.25600,-0.69122,93.28813,0.13542
0.08000,-0.19609,-0.26520,57.31605,0.52299,45.70975,-0.05836,-135.26295,-0.69733,93.28957,0.15259
0.09000,-0.19901,-0.32121,57.32148,0.55618,45.70932,-0.02880,-135.26994,-0.69733,93.29118,0.17166
0.10000,-0.20251,-0.37840,57.32718,0.57411,45.70918,-0.00229,-135.27690,-0.69351,93.29300,0.19341
0.11000,-0.20657,-0.42812,57.33297,0.57468,45.70928,0.01812,-135.28381,-0.68893,93.29505,0.21858
0.12000,-0.21107,-0.45952,57.33867,0.55599,45.70954,0.02880,-135.29068,-0.68893,93.29737,0.24757
0.13000,-0.21576,-0.46092,57.34409,0.51765,45.70985,0.02651,-135.29759,-0.69962,93.30000,0.28114
0.14000,-0.22029,-0.42142,57.34902,0.45910,45.71007,0.00801,-135.30467,-0.72327,93.30299,0.32005
0.15000,-0.22419,-0.33270,57.35327,0.38033,45.71001,-0.02880,-135.31206,-0.76141,93.30640,0.36316
0.16000,-0.22694,-0.19065,57.35663,0.28324,45.70950,-0.08469,-135.31990,-0.81482,93.31026,0.40817
0.17000,-0.22801,0.00317,57.35893,0.17090,45.70832,-0.15907,-135.32835,-0.88196,93.31457,0.45242
0.18000,-0.22688,0.24080,57.36005,0.04826,45.70631,-0.24910,-135.33754,-0.95749,93.31931,0.49210
0.19000,-0.22319,0.50785,57.35990,-0.07782,45.70334,-0.34962,-135.34750,-1.03760,93.32441,0.52490
0.20000,-0.21672,0.78454,57.35849,-0.19875,45.69932,-0.45300,-135.35829,-1.11847,93.32980,0.54970
0.21000,-0.20750,1.04767,57.35592,-0.30518,45.69428,-0.55046,-135.36987,-1.19781,93.33540,0.56686
0.22000,-0.19577,1.27349,57.35239,-0.38853,45.68831,-0.63400,-135.38225,-1.27716,93.34114,0.57983
0.23000,-0.18203,1.44092,57.34815,-0.44117,45.68160,-0.69580,-135.39542,-1.35956,93.34700,0.59242
0.24000,-0.16695,1.53485,57.34356,-0.45834,45.67440,-0.73051,-135.40944,-1.44806,93.35299,0.60921
0.25000,-0.15133,1.54872,57.33899,-0.43926,45.66699,-0.73643,-135.42438,-1.54343,93.35918,0.63477
0.26000,-0.13598,1.48567,57.33478,-0.38624,45.65967,-0.71449,-135.44031,-1.64413,93.36568,0.66948
