Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.14962,-0.91159,92.37112,-1.34468,-0.82365,1.75085,-0.46970,-0.32995,0.06495,-0.28347
0.01000,-0.15859,-0.91159,92.35915,-1.34468,-0.80797,1.75085,-0.47250,-0.32995,0.06207,-0.28347
0.02000,-0.16785,-0.91099,92.34423,-1.64032,-0.78863,2.11111,-0.47630,-0.42131,0.05928,-0.26586
0.03000,-0.17681,-0.84771,92.32635,-1.92871,-0.76574,2.45081,-0.48093,-0.48897,0.05675,-0.23213
0.04000,-0.18480,-0.71797,92.30566,-2.19612,-0.73961,2.75034,-0.48608,-0.51727,0.05464,-0.18680
0.05000,-0.19117,-0.52391,92.28242,-2.43378,-0.71074,2.99137,-0.49127,-0.49203,0.05302,-0.13753
0.06000,-0.19528,-0.27338,92.25698,-2.63596,-0.67979,3.15861,-0.49592,-0.40271,0.05189,-0.09383
0.07000,-0.19663,0.02097,92.22971,-2.80075,-0.64756,3.24183,-0.49933,-0.24390,0.05114,-0.06500
0.08000,-0.19486,0.34309,92.20097,-2.93198,-0.61495,3.23741,-0.50080,-0.01599,0.05059,-0.05797
0.09000,-0.18977,0.67525,92.17107,-3.03535,-0.58282,3.14920,-0.49965,0.27483,0.04998,-0.07593
0.10000,-0.18136,1.00013,92.14026,-3.11699,-0.55197,2.98805,-0.49530,0.61681,0.04907,-0.11835
0.11000,-0.16977,1.30316,92.10873,-3.18375,-0.52306,2.76985,-0.48731,0.99333,0.04762,-0.18214
0.12000,-0.15529,1.57440,92.07658,-3.23792,-0.49657,2.51273,-0.47543,1.38424,0.04543,-0.26333
0.13000,-0.13828,1.80983,92.04397,-3.27835,-0.47280,2.23418,-0.45963,1.76783,0.04235,-0.35847
0.14000,-0.11910,2.01166,92.01102,-3.30353,-0.45188,1.94882,-0.44008,2.12312,0.03826,-0.46512
0.15000,-0.09805,2.18766,91.97790,-3.30811,-0.43382,1.66758,-0.41716,2.43181,0.03305,-0.58133
0.16000,-0.07534,2.34951,91.94485,-3.28712,-0.41853,1.39783,-0.39144,2.67935,0.02663,-0.70448
0.17000,-0.05106,2.51004,91.91216,-3.23524,-0.40587,1.14423,-0.36358,2.85503,0.01896,-0.83007
0.18000,-0.02514,2.68009,91.88015,-3.14865,-0.39565,0.90960,-0.33434,2.95160,0.01003,-0.95106
0.19000,0.00254,2.86532,91.84918,-3.02544,-0.38768,0.69552,-0.30455,2.96503,-6.461930024670437e-05,-1.05813
0.20000,0.03217,3.06413,91.81964,-2.86560,-0.38174,0.50280,-0.27504,2.89495,-0.01113,-1.14072
0.21000,0.06383,3.26753,91.79187,-2.67334,-0.37762,0.33179,-0.24665,2.74584,-0.02288,-1.18870
0.22000,0.09752,3.46125,91.76617,-2.45361,-0.37510,0.18271,-0.22012,2.52841,-0.03491,-1.19399
0.23000,0.13305,3.62967,91.74280,-2.21558,-0.37397,0.05601,-0.19608,2.26048,-0.04676,-1.15196
0.24000,0.17011,3.76007,91.72186,-1.97029,-0.37398,-0.04748,-0.17491,1.96672,-0.05795,-1.06186
0.25000,0.20825,3.84557,91.70339,-1.72920,-0.37491,-0.12652,-0.15674,1.67661,-0.06800,-0.92661
0.26000,0.24702,3.88590,91.68728,-1.50528,-0.37651,-0.17990,-0.14138,1.42076,-0.07648,-0.75198
0.27000,0.28597,3.88582,91.67329,-1.31035,-0.37851,-0.20690,-0.12833,1.22617,-0.08304,-0.54564
0.28000,0.32474,3.85230,91.66107,-1.15700,-0.38065,-0.20796,-0.11686,1.11130,-0.08739,-0.31649
0.29000,0.36302,3.79167,91.65015,-1.05667,-0.38267,-0.18503,-0.10610,1.08236,-0.08937,-0.07425
0.30000,0.40057,3.70750,91.63994,-1.01662,-0.38435,-0.14150,-0.09521,1.13187,-0.08888,0.17072
0.31000,0.43717,3.59988,91.62981,-1.04103,-0.38550,-0.08176,-0.08347,1.23990,-0.08595,0.40753
0.32000,0.47257,3.46598,91.61912,-1.12801,-0.38599,-0.01044,-0.07041,1.37789,-0.08073,0.62508
0.33000,0.50649,3.30146,91.60725,-1.27068,-0.38571,0.06829,-0.05591,1.51412,-0.07345,0.81256
0.34000,0.53860,3.10227,91.59370,-1.45760,-0.38462,0.15114,-0.04013,1.61972,-0.06447,0.96013
0.35000,0.56853,2.86604,91.57810,-1.67389,-0.38269,0.23582,-0.02351,1.67421,-0.05425,1.05983
0.36000,0.59592,2.59273,91.56023,-1.90315,-0.37990,0.32082,-0.00665,1.66941,-0.04328,1.10657
0.37000,0.62039,2.28455,91.54004,-2.12898,-0.37627,0.40522,0.00988,1.61109,-0.03212,1.09888
0.38000,0.64161,1.94532,91.51765,-2.33765,-0.37180,0.48854,0.02558,1.51795,-0.02130,1.03932
0.39000,0.65929,1.57968,91.49329,-2.51808,-0.36650,0.57067,0.04023,1.41834,-0.01133,0.93417
0.40000,0.67320,1.19254,91.46729,-2.66457,-0.36039,0.65157,0.05394,1.34552,-0.00262,0.79264
0.41000,0.68314,0.78866,91.43999,-2.77596,-0.35347,0.73076,0.06714,1.33235,0.00452,0.62552
0.42000,0.68898,0.37252,91.41177,-2.85454,-0.34577,0.80684,0.08059,1.40639,0.00989,0.44379
0.43000,0.69060,-0.05141,91.38290,-2.90794,-0.33733,0.87734,0.09527,1.58592,0.01340,0.25746
0.44000,0.68795,-0.47760,91.35361,-2.94418,-0.32822,0.93925,0.11231,1.87715,0.01504,0.07471
0.45000,0.68104,-0.89786,91.32402,-2.97127,-0.31855,0.98986,0.13282,2.27265,0.01489,-0.09845
0.46000,0.66999,-1.29959,91.29418,-2.99416,-0.30843,1.02759,0.15776,2.75156,0.01307,-0.25807
0.47000,0.65505,-1.66511,91.26414,-3.01247,-0.29800,1.05249,0.18785,3.28156,0.00973,-0.40179
0.48000,0.63669,-1.97254,91.23393,-3.02429,-0.28738,1.06606,0.22339,3.82258,0.00504,-0.52804
0.49000,0.61560,-2.19871,91.20365,-3.02353,-0.27667,1.07048,0.26430,4.33133,-0.00083,-0.63538
0.50000,0.59271,-2.32346,91.17346,-3.00331,-0.26597,1.06772,0.31002,4.76613,-0.00767,-0.72194
0.51000,0.56913,-2.33438,91.14359,-2.95906,-0.25532,1.05864,0.35962,5.09111,-0.01527,-0.78506
0.52000,0.54603,-2.23058,91.11428,-2.89040,-0.24480,1.04258,0.41184,5.27936,-0.02337,-0.82118
0.53000,0.52452,-2.02445,91.08578,-2.80075,-0.23447,1.01738,0.46521,5.31465,-0.03169,-0.82619
0.54000,0.50554,-1.74082,91.05827,-2.69775,-0.22445,0.97995,0.51814,5.19186,-0.03989,-0.79645
0.55000,0.48970,-1.41361,91.03182,-2.59094,-0.21487,0.92717,0.56905,4.91633,-0.04762,-0.73036
0.56000,0.47727,-1.08054,91.00645,-2.48833,-0.20590,0.85695,0.61646,4.50262,-0.05450,-0.62964
0.57000,0.46809,-0.77700,90.98206,-2.39639,-0.19773,0.76919,0.65910,3.97300,-0.06021,-0.49993
0.58000,0.46173,-0.53016,90.95852,-2.31857,-0.19052,0.66636,0.69592,3.35543,-0.06450,-0.35025
0.59000,0.45749,-0.35493,90.93568,-2.25372,-0.18440,0.55338,0.72621,2.68103,-0.06722,-0.19187
0.60000,0.45463,-0.25271,90.91344,-2.19727,-0.17945,0.43695,0.74954,1.98123,-0.06834,-0.03686
0.61000,0.45244,-0.21318,90.89174,-2.14348,-0.17566,0.32444,0.76583,1.28513,-0.06796,0.10317
0.62000,0.45036,-0.21825,90.87057,-2.08626,-0.17296,0.22266,0.77524,0.61759,-0.06627,0.21800
0.63000,0.44807,-0.24681,90.85001,-2.02217,-0.17121,0.13688,0.77818,-0.00162,-0.06360,0.29936
0.64000,0.44543,-0.27874,90.83013,-1.94855,-0.17023,0.07047,0.77521,-0.55789,-0.06029,0.34139
0.65000,0.44250,-0.29759,90.81104,-1.86424,-0.16980,0.02510,0.76702,-1.04109,-0.05677,0.34098
0.66000,0.43948,-0.29180,90.79285,-1.77231,-0.16972,0.00139,0.75439,-1.44455,-0.05347,0.29838
0.67000,0.43666,-0.25491,90.77560,-1.67503,-0.16977,-0.00070,0.73813,-1.76389,-0.05080,0.21774
0.68000,0.43438,-0.18514,90.75935,-1.57547,-0.16974,0.01829,0.71911,-1.99628,-0.04911,0.10731
0.69000,0.43296,-0.08514,90.74409,-1.47820,-0.16941,0.05688,0.69821,-2.14039,-0.04865,-0.02109
0.70000,0.43267,0.03816,90.72978,-1.38817,-0.16860,0.11208,0.67631,-2.19735,-0.04953,-0.15365
0.71000,0.43372,0.17384,90.71632,-1.31111,-0.16717,0.17908,0.65426,-2.17197,-0.05173,-0.27658
0.72000,0.43615,0.30791,90.70356,-1.25427,-0.16502,0.25126,0.63287,-2.07389,-0.05507,-0.37810
0.73000,0.43988,0.42524,90.69124,-1.22414,-0.16214,0.32101,0.61278,-1.91777,-0.05929,-0.44974
0.74000,0.44466,0.51221,90.67908,-1.22414,-0.15860,0.38082,0.59451,-1.72250,-0.06406,-0.48680
0.75000,0.45012,0.55932,90.66676,-1.25618,-0.15453,0.42476,0.57833,-1.50927,-0.06902,-0.48818
0.76000,0.45584,0.56314,90.65395,-1.31760,-0.15010,0.44965,0.56432,-1.29907,-0.07382,-0.45597
0.77000,0.46138,0.52696,90.64040,-1.40038,-0.14553,0.45590,0.55235,-1.10999,-0.07814,-0.39491
0.78000,0.46638,0.46026,90.62595,-1.49307,-0.14099,0.44747,0.54213,-0.95523,-0.08172,-0.31179
0.79000,0.47059,0.37702,90.61054,-1.58157,-0.13658,0.43109,0.53325,-0.84204,-0.08438,-0.21489
0.80000,0.47392,0.29326,90.59431,-1.65100,-0.13236,0.41476,0.52528,-0.77183,-0.08602,-0.11320
