Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,5.94432,-5.63469,-1.89021,0.81718,-1.02177
0.01000,5.94432,-5.63469,-1.89021,0.81718,-1.02177
0.02000,6.26155,-6.27747,-2.25171,0.81209,-1.10204
0.03000,6.34145,-6.77605,-2.60390,0.74800,-1.13769
0.04000,6.18371,-7.11441,-2.93688,0.62233,-1.12301
0.05000,5.81189,-7.29370,-3.24253,0.43955,-1.05649
0.06000,5.26793,-7.32841,-3.51423,0.21141,-0.94105
0.07000,4.60540,-7.24297,-3.74647,-0.04429,-0.78376
0.08000,3.88343,-7.06749,-3.93479,-0.30626,-0.59520
0.09000,3.16174,-6.83479,-4.07600,-0.55318,-0.38826
0.10000,2.49647,-6.57845,-4.16887,-0.76716,-0.17669
0.11000,1.93622,-6.32858,-4.21468,-0.93671,0.02667
0.12000,1.51815,-6.11038,-4.21764,-1.05807,0.21175
0.13000,1.26460,-5.94139,-4.18470,-1.13492,0.37283
0.14000,1.18093,-5.83000,-4.12496,-1.17707,0.50929
0.15000,1.25489,-5.77469,-4.04849,-1.19835,0.62530
0.16000,1.45723,-5.76515,-3.96500,-1.21421,0.72822
0.17000,1.74432,-5.78232,-3.88268,-1.23906,0.82636
0.18000,2.06267,-5.80063,-3.80726,-1.28366,0.92650
0.19000,2.35559,-5.79414,-3.74143,-1.35311,1.03184
0.20000,2.57149,-5.73845,-3.68472,-1.44602,1.14106
0.21000,2.67162,-5.61523,-3.63382,-1.55504,1.24849
0.22000,2.63587,-5.41649,-3.58359,-1.66867,1.34558
0.23000,2.46521,-5.14488,-3.52815,-1.77349,1.42316
0.24000,2.18045,-4.81415,-3.46202,-1.85596,1.47390
0.25000,1.81767,-4.44565,-3.38116,-1.90389,1.49411
0.26000,1.42130,-4.06456,-3.28366,-1.90765,1.48434
0.27000,1.03635,-3.69415,-3.16973,-1.86121,1.44861
0.28000,0.70136,-3.35426,-3.04152,-1.76347,1.39282
0.29000,0.44324,-3.05710,-2.90227,-1.61873,1.32293
0.30000,0.27478,-2.80609,-2.75534,-1.43619,1.24353
0.31000,0.19515,-2.59895,-2.60353,-1.22825,1.15708
0.32000,0.19301,-2.42691,-2.44853,-1.00824,1.06396
0.33000,0.25071,-2.28043,-2.29123,-0.78806,0.96310
0.34000,0.34805,-2.14844,-2.13210,-0.57679,0.85297
0.35000,0.46496,-2.02179,-1.97169,-0.38036,0.73256
0.36000,0.58333,-1.89514,-1.81101,-0.20183,0.60214
0.37000,0.68818,-1.76544,-1.65160,-0.04239,0.46354
0.38000,0.76839,-1.63383,-1.49556,0.09807,0.32023
0.39000,0.81658,-1.50261,-1.34563,0.22062,0.17703
0.40000,0.82859,-1.37558,-1.20523,0.32723,0.03987
0.41000,0.80293,-1.25694,-1.07853,0.42083,-0.08468
0.42000,0.74040,-1.14975,-0.97060,0.50513,-0.18999
0.43000,0.64394,-1.05629,-0.88733,0.58426,-0.27035
0.44000,0.51831,-0.97733,-0.83519,0.66209,-0.32198
0.45000,0.36971,-0.91248,-0.82036,0.74123,-0.34401
0.46000,0.20510,-0.86136,-0.84761,0.82197,-0.33880
0.47000,0.03150,-0.82474,-0.91903,0.90170,-0.31147
0.48000,-0.14479,-0.80376,-1.03320,0.97508,-0.26884
0.49000,-0.31854,-0.79803,-1.18477,1.03552,-0.21815
0.50000,-0.48540,-0.80948,-1.36476,1.07729,-0.16600
0.51000,-0.64129,-0.84038,-1.56137,1.09767,-0.11749
0.52000,-0.78167,-0.89149,-1.76128,1.09866,-0.07553
0.53000,-0.90128,-0.96474,-1.95104,1.08790,-0.04041
0.54000,-0.99455,-1.05972,-2.11840,1.07882,-0.00978
0.55000,-1.05667,-1.17569,-2.25343,1.08999,0.02084
0.56000,-1.08504,-1.30997,-2.34897,1.14405,0.05712
0.57000,-1.08015,-1.45683,-2.40049,1.26625,0.10463
0.58000,-1.04557,-1.60904,-2.40545,1.48265,0.16766
0.59000,-0.98704,-1.75896,-2.36236,1.81801,0.24801
0.60000,-0.91112,-1.89896,-2.27003,2.29331,0.34418
0.61000,-0.82358,-2.02141,-2.12737,2.92267,0.45104
0.62000,-0.72804,-2.12212,-1.93413,3.70997,0.56016
0.63000,-0.62516,-2.19803,-1.69215,4.64572,0.66099
0.64000,-0.51265,-2.24838,-1.40684,5.70480,0.74253
0.65000,-0.38608,-2.27547,-1.08838,6.84565,0.79521
0.66000,-0.24015,-2.28043,-0.75202,8.01147,0.81241
0.67000,-0.07038,-2.26402,-0.41736,9.13378,0.79135
0.68000,0.12549,-2.22588,-0.10685,10.13827,0.73333
0.69000,0.34637,-2.16446,0.15625,10.95312,0.64338
0.70000,0.58714,-2.07596,0.35029,11.51834,0.52975
0.71000,0.83857,-1.95313,0.45781,11.79489,0.40338
0.72000,1.08812,-1.79024,0.46798,11.77151,0.27743
0.73000,1.32159,-1.58043,0.37872,11.46703,0.16633
0.74000,1.52560,-1.31874,0.19774,10.92715,0.08424
0.75000,1.69042,-1.00517,-0.05783,10.21570,0.04278
0.76000,1.81220,-0.64354,-0.36341,9.40211,0.04874
0.77000,1.89430,-0.24490,-0.68999,8.54860,0.10241
0.78000,1.94660,0.17548,-1.00793,7.70049,0.19745
0.79000,1.98306,0.60043,-1.29076,6.88229,0.32238
0.80000,2.01803,1.01318,-1.51832,6.09982,0.46307
0.81000,2.06252,1.39923,-1.67873,5.34639,0.60541
0.82000,2.12208,1.74942,-1.76888,4.61018,0.73724
0.83000,2.19648,2.06146,-1.79335,3.88063,0.84931
0.84000,2.28110,2.33650,-1.76218,3.15257,0.93527
0.85000,2.36942,2.57797,-1.68788,2.42801,0.99122
0.86000,2.45587,2.78931,-1.58275,1.71604,1.01524
0.87000,2.53852,2.97356,-1.45712,1.03104,1.00718
0.88000,2.62057,3.13034,-1.31910,0.38978,0.96860
0.89000,2.71012,3.25432,-1.17564,-0.19186,0.90280
0.90000,2.81811,3.34053,-1.03389,-0.70181,0.81455
0.91000,2.95490,3.38287,-0.90234,-1.13361,0.70995
0.92000,3.12642,3.37601,-0.79066,-1.48672,0.59638
0.93000,3.33109,3.32031,-0.70864,-1.76547,0.48279
0.94000,3.55850,3.21960,-0.66453,-1.97726,0.37995
0.95000,3.79044,3.08151,-0.66323,-2.13047,0.30026
0.96000,4.00422,2.91824,-0.70534,-2.23300,0.25674
0.97000,4.17730,2.74162,-0.78696,-2.29150,0.26131
0.98000,4.29196,2.56157,-0.90041,-2.31114,0.32237
0.99000,4.33854,2.38609,-1.03544,-2.29574,0.44259
1.00000,4.31639,2.22130,-1.18065,-2.24784,0.61745
1.01000,4.23267,2.07024,-1.32481,-2.16882,0.83518
1.02000,4.09964,1.93405,-1.45808,-2.05904,1.07807
1.03000,3.93118,1.81351,-1.57277,-1.91843,1.32509
1.04000,3.73982,1.70860,-1.66363,-1.74755,1.55491
1.05000,3.53501,1.62010,-1.72761,-1.54886,1.74876
1.06000,3.32292,1.54648,-1.76365,-1.32778,1.89262
1.07000,3.10756,1.48582,-1.77259,-1.09295,1.97848
1.08000,2.89232,1.43547,-1.75747,-0.85518,2.00454
1.09000,2.68090,1.39046,-1.72390,-0.62547,1.97473
1.10000,2.47707,1.34659,-1.68017,-0.41270,1.89748
1.11000,2.28341,1.30119,-1.63667,-0.22197,1.78423
1.12000,2.10033,1.25427,-1.60466,-0.05393,1.64778
1.13000,1.92620,1.20621,-1.59438,0.09490,1.50065
1.14000,1.75839,1.15852,-1.61321,0.23140,1.35367
1.15000,1.59444,1.11427,-1.66426,0.36469,1.21498
1.16000,1.43272,1.07536,-1.74598,0.50501,1.08949
1.17000,1.27259,1.04408,-1.85254,0.66254,0.97899
1.18000,1.11402,1.02196,-1.97488,0.84632,0.88262
1.19000,0.95723,1.00975,-2.10203,1.06330,0.79775
1.20000,0.80238,1.00937,-2.22243,1.31755,0.72089
1.21000,0.64961,1.02119,-2.32522,1.60969,0.64849
1.22000,0.49956,1.04446,-2.40132,1.93655,0.57755
1.23000,0.35401,1.07956,-2.44435,2.29074,0.50579
1.24000,0.21664,1.12457,-2.45131,2.66077,0.43172
1.25000,0.09349,1.17607,-2.42278,3.03153,0.35456
1.26000,-0.00702,1.23062,-2.36258,3.38541,0.27424
1.27000,-0.07468,1.28326,-2.27704,3.70412,0.19148
1.28000,-0.09884,1.32866,-2.17391,3.97065,0.10790
1.29000,-0.07020,1.36223,-2.06125,4.17101,0.02610
1.30000,0.01700,1.38054,-1.94658,4.29587,-0.05047
1.31000,0.16285,1.38130,-1.83618,4.34149,-0.11786
1.32000,0.36029,1.36414,-1.73459,4.31030,-0.17216
1.33000,0.59488,1.33171,-1.64416,4.21035,-0.21000
1.34000,0.84649,1.28708,-1.56485,4.05364,-0.22902
1.35000,1.09260,1.23253,-1.49433,3.85383,-0.22819
1.36000,1.31253,1.17035,-1.42878,3.62377,-0.20794
1.37000,1.49144,1.10016,-1.36404,3.37384,-0.17048
1.38000,1.62313,1.01738,-1.29719,3.11168,-0.11988
1.39000,1.71114,0.91553,-1.22755,2.84303,-0.06210
1.40000,1.76794,0.78545,-1.15709,2.57356,-0.00471
1.41000,1.81258,0.61798,-1.08974,2.31060,0.04380
1.42000,1.86743,0.40398,-1.03012,2.06425,0.07497
1.43000,1.95474,0.13504,-0.98187,1.84727,0.08140
1.44000,2.09389,-0.19226,-0.94629,1.67364,0.05758
1.45000,2.29975,-0.57983,-0.92149,1.55649,0.00046
1.46000,2.58205,-1.02654,-0.90266,1.50558,-0.09035
1.47000,2.94501,-1.52855,-0.88328,1.52528,-0.21252
1.48000,3.38682,-2.07787,-0.85721,1.61377,-0.36097
1.49000,3.89822,-2.66304,-0.82086,1.76363,-0.52798
1.50000,4.46063,-3.26805,-0.77487,1.96372,-0.70356
1.51000,5.04434,-3.86963,-0.72462,2.20138,-0.87633
1.52000,5.60824,-4.43878,-0.67932,2.46447,-1.03491
1.53000,6.10201,-4.94308,-0.65010,2.74282,-1.16941
1.54000,6.47100,-5.34821,-0.64733,3.02905,-1.27264
1.55000,6.66335,-5.62172,-0.67819,3.31891,-1.34073
1.56000,6.63786,-5.73921,-0.74468,3.61105,-1.37307
1.57000,6.37136,-5.68810,-0.84263,3.90590,-1.37187
1.58000,5.86410,-5.46913,-0.96197,4.20381,-1.34140
1.59000,5.14174,-5.09796,-1.08810,4.50277,-1.28719
1.60000,4.25314,-4.60510,-1.20426,4.79608,-1.21511
1.61000,3.26414,-4.03061,-1.29405,5.07091,-1.13055
1.62000,2.24837,-3.41988,-1.34370,5.30796,-1.03769
1.63000,1.27710,-2.81754,-1.34373,5.48287,-0.93905
1.64000,0.41001,-2.26288,-1.28980,5.56903,-0.83534
1.65000,-0.31141,-1.78490,-1.18291,5.54153,-0.72589
1.66000,-0.86692,-1.39999,-1.02905,5.38149,-0.60933
1.67000,-1.25688,-1.11427,-0.83827,5.07997,-0.48451
1.68000,-1.49858,-0.92392,-0.62354,4.64087,-0.35119
1.69000,-1.62063,-0.81711,-0.39932,4.08186,-0.21041
1.70000,-1.65673,-0.77858,-0.17999,3.43323,-0.06436
1.71000,-1.63994,-0.79422,0.02152,2.73429,0.08389
1.72000,-1.59815,-0.85068,0.19472,2.02830,0.23083
1.73000,-1.55131,-0.93803,0.33202,1.35657,0.37254
1.74000,-1.51069,-1.05247,0.42863,0.75340,0.50462
1.75000,-1.47993,-1.19247,0.48198,0.24282,0.62192
1.76000,-1.45747,-1.35803,0.49101,-0.16213,0.71856
1.77000,-1.43989,-1.55029,0.45553,-0.45787,0.78835
1.78000,-1.42515,-1.76811,0.37596,-0.64719,0.82575
1.79000,-1.41501,-2.00653,0.25342,-0.73609,0.82687
1.80000,-1.41585,-2.25677,0.09027,-0.73156,0.79031
1.81000,-1.43767,-2.50778,-0.10926,-0.64088,0.71756
1.82000,-1.49138,-2.74620,-0.33841,-0.47214,0.61284
1.83000,-1.58528,-2.95906,-0.58771,-0.23535,0.48270
1.84000,-1.72136,-3.13721,-0.84497,0.05657,0.33536
1.85000,-1.89257,-3.27644,-1.09591,0.38733,0.18009
1.86000,-2.08159,-3.37715,-1.32524,0.73772,0.02661
1.87000,-2.26162,-3.44543,-1.51836,1.08670,-0.11549
1.88000,-2.39949,-3.49464,-1.66318,1.41287,-0.23742
1.89000,-2.46057,-3.53813,-1.75187,1.69606,-0.33200
1.90000,-2.41481,-3.58810,-1.78218,1.91873,-0.39443
1.91000,-2.24303,-3.65486,-1.75797,2.06722,-0.42279
1.92000,-1.94180,-3.74107,-1.68866,2.13305,-0.41814
1.93000,-1.52597,-3.84140,-1.58768,2.11393,-0.38398
1.94000,-1.02772,-3.94363,-1.46989,2.01454,-0.32565
1.95000,-0.49214,-4.03061,-1.34881,1.84634,-0.24962
1.96000,0.02992,-4.08287,-1.23437,1.62636,-0.16308
1.97000,0.49023,-4.08401,-1.13177,1.37496,-0.07369
1.98000,0.85089,-4.02298,-1.04183,1.11309,0.01070
1.99000,1.08960,-3.89595,-0.96234,0.85975,0.08250
2.00000,1.20146,-3.70750,-0.88999,0.63015,0.13530
2.01000,1.19690,-3.46794,-0.82209,0.43476,0.16489
2.02000,1.09667,-3.19138,-0.75780,0.27923,0.17020
2.03000,0.92557,-2.89116,-0.69834,0.16472,0.15374
2.04000,0.70636,-2.57950,-0.64657,0.08842,0.12125
2.05000,0.45567,-2.26402,-0.60593,0.04425,0.08083
2.06000,0.18240,-1.94817,-0.57916,0.02371,0.04173
2.07000,-0.11131,-1.63422,-0.56717,0.01691,0.01309
2.08000,-0.42695,-1.32332,-0.56839,0.01379,0.00303
2.09000,-0.76570,-1.01700,-0.57887,0.00524,0.01797
2.10000,-1.12457,-0.72021,-0.59311,-0.01602,0.06222
2.11000,-1.49399,-0.44327,-0.60523,-0.05469,0.13762
2.12000,-1.85723,-0.19760,-0.61037,-0.11254,0.24326
2.13000,-2.19203,0.00305,-0.60586,-0.18821,0.37522
2.14000,-2.47397,0.14458,-0.59213,-0.27722,0.52661
2.15000,-2.68108,0.21858,-0.57288,-0.37249,0.68798
2.16000,-2.79846,0.22125,-0.55459,-0.46530,0.84814
2.17000,-2.82200,0.15678,-0.54514,-0.54660,0.99542
2.18000,-2.76001,0.03586,-0.55186,-0.60821,1.11906
2.19000,-2.63240,-0.12589,-0.57936,-0.64372,1.21040
2.20000,-2.46741,-0.30823,-0.62800,-0.64910,1.26374
2.21000,-2.29652,-0.49171,-0.69336,-0.62315,1.27666
2.22000,-2.14880,-0.65842,-0.76714,-0.56803,1.24998
2.23000,-2.04592,-0.79460,-0.83899,-0.48958,1.18759
2.24000,-1.99895,-0.89340,-0.89867,-0.39712,1.09626
2.25000,-2.00767,-0.95215,-0.93797,-0.30248,0.98514
2.26000,-2.06202,-0.97504,-0.95176,-0.21841,0.86513
2.27000,-2.14517,-0.97046,-0.93827,-0.15651,0.74759
2.28000,-2.23704,-0.94757,-0.89870,-0.12546,0.64298
2.29000,-2.31728,-0.91896,-0.83653,-0.12974,0.55935
2.30000,-2.36733,-0.89684,-0.75691,-0.16927,0.50116
2.31000,-2.37152,-0.89073,-0.66620,-0.23974,0.46882
2.32000,-2.31799,-0.90904,-0.57173,-0.33354,0.45895
2.33000,-2.19950,-0.95863,-0.48162,-0.44082,0.46541
2.34000,-2.01468,-1.04065,-0.40432,-0.55050,0.48082
2.35000,-1.76936,-1.15242,-0.34795,-0.65104,0.49818
2.36000,-1.47735,-1.28632,-0.31919,-0.73122,0.51202
2.37000,-1.16002,-1.43204,-0.32196,-0.78096,0.51891
2.38000,-0.84422,-1.57623,-0.35628,-0.79258,0.51712
2.39000,-0.55867,-1.70555,-0.41780,-0.76228,0.50596
2.40000,-0.32943,-1.81007,-0.49797,-0.69141,0.48506
2.41000,-0.17555,-1.88255,-0.58518,-0.58687,0.45417
2.42000,-0.10589,-1.92070,-0.66636,-0.46054,0.41317
2.43000,-0.11803,-1.92871,-0.72896,-0.32761,0.36245
2.44000,-0.19928,-1.91460,-0.76271,-0.20429,0.30314
2.45000,-0.32961,-1.88751,-0.76107,-0.10541,0.23709
2.46000,-0.48567,-1.86005,-0.72189,-0.04212,0.16654
2.47000,-0.64480,-1.84212,-0.64751,-0.02023,0.09361
2.48000,-0.78840,-1.84059,-0.54414,-0.03920,0.01990
2.49000,-0.90409,-1.85966,-0.42085,-0.09203,-0.05356
2.50000,-0.98648,-1.89896,-0.28829,-0.16611,-0.12613
2.51000,-1.03660,-1.95503,-0.15745,-0.24519,-0.19713
2.52000,-1.06031,-2.02141,-0.03855,-0.31187,-0.26544
2.53000,-1.06611,-2.09084,0.05980,-0.35030,-0.32919
2.54000,-1.06277,-2.15569,0.13121,-0.34862,-0.38576
2.55000,-1.05735,-2.21062,0.17190,-0.30051,-0.43190
2.56000,-1.05397,-2.25143,0.18091,-0.20583,-0.46419
2.57000,-1.05352,-2.27623,0.15988,-0.07019,-0.47953
2.58000,-1.05433,-2.28462,0.11261,0.09639,-0.47574
2.59000,-1.05350,-2.27699,0.04416,0.28139,-0.45205
2.60000,-1.04835,-2.25487,-0.03987,0.47165,-0.40942
2.61000,-1.03748,-2.21748,-0.13398,0.65490,-0.35059
2.62000,-1.02102,-2.16408,-0.23303,0.82058,-0.27993
2.63000,-1.00007,-2.09312,-0.33236,0.96029,-0.20306
2.64000,-0.97572,-2.00348,-0.42780,1.06795,-0.12630
2.65000,-0.94789,-1.89400,-0.51580,1.14007,-0.05601
2.66000,-0.91486,-1.76315,-0.59351,1.17600,0.00204
2.67000,-0.87346,-1.61057,-0.65878,1.17804,0.04305
2.68000,-0.82015,-1.43700,-0.71006,1.15097,0.06358
2.69000,-0.75237,-1.24397,-0.74611,1.10109,0.06172
2.70000,-0.66970,-1.03264,-0.76596,1.03501,0.03734
2.71000,-0.57432,-0.80528,-0.76889,0.95855,-0.00772
2.72000,-0.47089,-0.56534,-0.75456,0.87604,-0.06952
2.73000,-0.36584,-0.31738,-0.72297,0.79025,-0.14232
2.74000,-0.26633,-0.06599,-0.67432,0.70271,-0.21917
2.75000,-0.17921,0.18311,-0.60879,0.61439,-0.29295
2.76000,-0.10999,0.42152,-0.52636,0.52659,-0.35736
2.77000,-0.06195,0.64240,-0.42696,0.44177,-0.40792
2.78000,-0.03552,0.83847,-0.31074,0.36399,-0.44252
2.79000,-0.02785,1.00098,-0.17858,0.29882,-0.46153
2.80000,-0.03273,1.12190,-0.03245,0.25246,-0.46761
2.81000,-0.04105,1.19476,0.12423,0.23051,-0.46508
2.82000,-0.04166,1.21231,0.28648,0.23657,-0.45903
2.83000,-0.02289,1.16997,0.44790,0.27126,-0.45431
2.84000,0.02559,1.06583,0.60103,0.33180,-0.45470
2.85000,0.11075,0.89951,0.73791,0.41222,-0.46249
2.86000,0.23438,0.67520,0.85079,0.50435,-0.47842
2.87000,0.39197,0.39940,0.93303,0.59926,-0.50197
2.88000,0.57251,0.08240,0.98006,0.68893,-0.53173
2.89000,0.75952,-0.26360,0.99011,0.76780,-0.56580
2.90000,0.93304,-0.62675,0.96475,0.83350,-0.60219
2.91000,1.07258,-0.99373,0.90874,0.88681,-0.63921
2.92000,1.16011,-1.35269,0.82934,0.93075,-0.67562
2.93000,1.18282,-1.69373,0.73511,0.96959,-0.71060
2.94000,1.13476,-2.00958,0.63447,1.00804,-0.74336
2.95000,1.01722,-2.29530,0.53436,1.05089,-0.77273
