Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,2.47745,0.38347,94.18092,1.14250,-0.70162,0.45919,-0.44902,-0.17778,1.08902,-0.02498
0.01000,2.48114,0.38347,94.19209,1.14250,-0.69743,0.45919,-0.45043,-0.17778,1.08870,-0.02498
0.02000,2.48512,0.42138,94.20377,1.15700,-0.69243,0.53803,-0.45257,-0.25732,1.08852,-0.00610
0.03000,2.48956,0.48516,94.21523,1.09024,-0.68667,0.61179,-0.45558,-0.34867,1.08857,0.01988
0.04000,2.49482,0.59053,94.22558,0.93346,-0.68020,0.67742,-0.45955,-0.44743,1.08892,0.05199
0.05000,2.50137,0.75220,94.23389,0.68550,-0.67312,0.73193,-0.46452,-0.54622,1.08961,0.08808
0.06000,2.50986,0.98045,94.23929,0.35400,-0.66556,0.77239,-0.47047,-0.63517,1.09068,0.12498
0.07000,2.52098,1.27860,94.24097,-0.04768,-0.65767,0.79627,-0.47723,-0.70348,1.09211,0.15897
0.08000,2.53543,1.64202,94.23833,-0.50201,-0.64963,0.80207,-0.48454,-0.74136,1.09386,0.18663
0.09000,2.55382,2.05889,94.23093,-0.98953,-0.64163,0.78983,-0.49206,-0.74183,1.09585,0.20568
0.10000,2.57661,2.51229,94.21854,-1.49117,-0.63384,0.76151,-0.49938,-0.70190,1.09797,0.21556
0.11000,2.60407,2.98284,94.20111,-1.99127,-0.62640,0.72080,-0.50609,-0.62305,1.10016,0.21785
0.12000,2.63627,3.45063,94.17872,-2.47650,-0.61942,0.67227,-0.51184,-0.51081,1.10233,0.21612
0.13000,2.67308,3.89616,94.15158,-2.93541,-0.61295,0.62024,-0.51631,-0.37374,1.10448,0.21530
0.14000,2.71419,4.30046,94.12001,-3.35770,-0.60702,0.56760,-0.51931,-0.22196,1.10664,0.22089
0.15000,2.75909,4.64464,94.08443,-3.73077,-0.60160,0.51510,-0.52075,-0.06570,1.10890,0.23791
0.16000,2.80709,4.90987,94.04539,-4.04053,-0.59671,0.46149,-0.52063,0.08582,1.11139,0.26994
0.17000,2.85729,5.07839,94.00362,-4.27170,-0.59237,0.40424,-0.51903,0.22496,1.11430,0.31843
0.18000,2.90865,5.13587,93.95996,-4.40903,-0.58863,0.34076,-0.51613,0.34582,1.11776,0.38225
0.19000,2.96001,5.07481,93.91544,-4.44298,-0.58556,0.26937,-0.51212,0.44408,1.12194,0.45779
0.20000,3.01015,4.89812,93.87110,-4.37088,-0.58324,0.18980,-0.50724,0.51700,1.12692,0.53951
0.21000,3.05797,4.62148,93.82802,-4.19884,-0.58176,0.10303,-0.50178,0.56341,1.13273,0.62085
0.22000,3.10258,4.27334,93.78712,-3.94211,-0.58118,0.01090,-0.49598,0.58390,1.13934,0.69530
0.23000,3.14344,3.89206,93.74918,-3.62396,-0.58154,-0.08428,-0.49010,0.58082,1.14664,0.75726
0.24000,3.18042,3.52089,93.71465,-3.27377,-0.58287,-0.17986,-0.48436,0.55808,1.15448,0.80251
0.25000,3.21385,3.20187,93.68370,-2.91977,-0.58514,-0.27263,-0.47894,0.52077,1.16269,0.82816
0.26000,3.24446,2.97009,93.65625,-2.58789,-0.58832,-0.35870,-0.47394,0.47455,1.17104,0.83241
0.27000,3.27326,2.84975,93.63194,-2.30026,-0.59232,-0.43341,-0.46945,0.42489,1.17933,0.81424
