Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,1.84197,90.19956,1.34892,-0.19544,-0.02139
0.01000,1.82826,90.18313,1.34487,-0.18103,-0.02218
0.02000,1.81335,90.16309,1.34073,-0.16352,-0.02344
0.03000,1.79787,90.13952,1.33670,-0.14305,-0.02526
0.04000,1.78257,90.11262,1.33303,-0.11993,-0.02772
0.05000,1.76825,90.08271,1.32992,-0.09459,-0.03089
0.06000,1.75570,90.05019,1.32757,-0.06755,-0.03479
0.07000,1.74561,90.01550,1.32611,-0.03937,-0.03940
0.08000,1.73856,89.97908,1.32560,-0.01063,-0.04465
0.09000,1.73492,89.94135,1.32604,0.01807,-0.05041
0.10000,1.73488,89.90273,1.32735,0.04622,-0.05656
0.11000,1.73839,89.86359,1.32937,0.07337,-0.06291
0.12000,1.74519,89.82429,1.33187,0.09923,-0.06930
0.13000,1.75481,89.78523,1.33461,0.12366,-0.07557
0.14000,1.76663,89.74683,1.33730,0.14670,-0.08157
0.15000,1.77990,89.70953,1.33972,0.16857,-0.08711
0.16000,1.79382,89.67380,1.34168,0.18955,-0.09206
0.17000,1.80761,89.64006,1.34307,0.20999,-0.09625
0.18000,1.82056,89.60872,1.34385,0.23017,-0.09956
0.19000,1.83211,89.58008,1.34406,0.25026,-0.10188
0.20000,1.84187,89.55435,1.34376,0.27030,-0.10312
0.21000,1.84968,89.53160,1.34307,0.29017,-0.10320
0.22000,1.85555,89.51177,1.34207,0.30964,-0.10209
0.23000,1.85969,89.49466,1.34087,0.32835,-0.09975
0.24000,1.86241,89.47997,1.33951,0.34592,-0.09617
0.25000,1.86415,89.46731,1.33803,0.36194,-0.09137
0.26000,1.86533,89.45628,1.33638,0.37604,-0.08538
0.27000,1.86638,89.44649,1.33448,0.38798,-0.07828
0.28000,1.86762,89.43761,1.33222,0.39768,-0.07016
0.29000,1.86930,89.42945,1.32942,0.40528,-0.06120
0.30000,1.87148,89.42193,1.32594,0.41116,-0.05157
0.31000,1.87410,89.41512,1.32164,0.41594,-0.04150
0.32000,1.87695,89.40921,1.31642,0.42042,-0.03126
0.33000,1.87974,89.40445,1.31025,0.42552,-0.02112
0.34000,1.88217,89.40108,1.30320,0.43220,-0.01135
0.35000,1.88395,89.39930,1.29538,0.44137,-0.00217
0.36000,1.88488,89.39919,1.28699,0.45381,0.00624
0.37000,1.88489,89.40070,1.27826,0.47010,0.01383
0.38000,1.88401,89.40369,1.26947,0.49057,0.02062
0.39000,1.88240,89.40786,1.26085,0.51529,0.02673
0.40000,1.88033,89.41287,1.25261,0.54409,0.03235
0.41000,1.87810,89.41833,1.24492,0.57654,0.03770
0.42000,1.87605,89.42382,1.23783,0.61203,0.04296
0.43000,1.87452,89.42890,1.23136,0.64976,0.04828
0.44000,1.87385,89.43318,1.22545,0.68882,0.05369
0.45000,1.87437,89.43624,1.21999,0.72823,0.05912
0.46000,1.87639,89.43771,1.21483,0.76699,0.06441
0.47000,1.88024,89.43721,1.20984,0.80418,0.06928
0.48000,1.88623,89.43441,1.20486,0.83898,0.07342
0.49000,1.89465,89.42901,1.19977,0.87076,0.07648
0.50000,1.90575,89.42076,1.19446,0.89911,0.07817
0.51000,1.91971,89.40948,1.18884,0.92383,0.07828
0.52000,1.93668,89.39500,1.18284,0.94498,0.07669
0.53000,1.95677,89.37724,1.17638,0.96275,0.07339
0.54000,1.98004,89.35609,1.16937,0.97748,0.06848
0.55000,2.00660,89.33153,1.16171,0.98955,0.06213
0.56000,2.03650,89.30351,1.15327,0.99935,0.05456
0.57000,2.06982,89.27210,1.14390,1.00721,0.04604
0.58000,2.10653,89.23745,1.13348,1.01344,0.03685
0.59000,2.14656,89.19984,1.12190,1.01829,0.02727
0.60000,2.18967,89.15971,1.10911,1.02197,0.01756
0.61000,2.23549,89.11758,1.09516,1.02467,0.00793
0.62000,2.28350,89.07413,1.08019,1.02656,-0.00144
0.63000,2.33305,89.03006,1.06445,1.02778,-0.01042
0.64000,2.38340,88.98607,1.04830,1.02849,-0.01890
0.65000,2.43380,88.94279,1.03217,1.02882,-0.02686
0.66000,2.48352,88.90072,1.01655,1.02890,-0.03426
0.67000,2.53193,88.86022,1.00187,1.02880,-0.04112
0.68000,2.57853,88.82147,0.98853,1.02859,-0.04744
0.69000,2.62302,88.78448,0.97677,1.02832,-0.05319
0.70000,2.66526,88.74911,0.96665,1.02804,-0.05835
0.71000,2.70524,88.71514,0.95804,1.02780,-0.06286
0.72000,2.74310,88.68230,0.95065,1.02771,-0.06666
0.73000,2.77905,88.65030,0.94399,1.02790,-0.06966
0.74000,2.81339,88.61881,0.93753,1.02858,-0.07181
0.75000,2.84641,88.58754,0.93071,1.02995,-0.07301
0.76000,2.87848,88.55614,0.92305,1.03221,-0.07319
0.77000,2.90996,88.52426,0.91422,1.03545,-0.07225
0.78000,2.94127,88.49143,0.90413,1.03968,-0.07011
0.79000,2.97288,88.45715,0.89286,1.04471,-0.06665
0.80000,3.00532,88.42085,0.88072,1.05022,-0.06180
0.81000,3.03916,88.38201,0.86816,1.05578,-0.05551
0.82000,3.07500,88.34024,0.85570,1.06089,-0.04777
0.83000,3.11337,88.29530,0.84387,1.06511,-0.03863
0.84000,3.15466,88.24727,0.83317,1.06810,-0.02820
0.85000,3.19905,88.19648,0.82397,1.06964,-0.01664
0.86000,3.24646,88.14357,0.81652,1.06970,-0.00417
0.87000,3.29654,88.08940,0.81095,1.06832,0.00891
0.88000,3.34872,88.03495,0.80728,1.06565,0.02231
0.89000,3.40230,87.98120,0.80544,1.06185,0.03569
0.90000,3.45650,87.92905,0.80526,1.05702,0.04871
0.91000,3.51057,87.87926,0.80655,1.05122,0.06104
0.92000,3.56379,87.83237,0.80901,1.04442,0.07239
0.93000,3.61554,87.78876,0.81234,1.03653,0.08250
0.94000,3.66531,87.74863,0.81617,1.02747,0.09117
