Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-1.67505,91.59715,1.02663,-0.97846,0.32916
0.01000,-1.65183,91.58331,1.02512,-0.97671,0.32945
0.02000,-1.62530,91.56757,1.02328,-0.97397,0.32969
0.03000,-1.59625,91.55038,1.02115,-0.97013,0.32979
0.04000,-1.56570,91.53232,1.01880,-0.96516,0.32970
0.05000,-1.53481,91.51400,1.01630,-0.95909,0.32931
0.06000,-1.50476,91.49606,1.01375,-0.95205,0.32856
0.07000,-1.47663,91.47906,1.01121,-0.94428,0.32740
0.08000,-1.45132,91.46350,1.00873,-0.93607,0.32579
0.09000,-1.42951,91.44976,1.00629,-0.92775,0.32374
0.10000,-1.41162,91.43809,1.00386,-0.91966,0.32127
0.11000,-1.39779,91.42863,1.00137,-0.91211,0.31844
0.12000,-1.38797,91.42139,0.99871,-0.90534,0.31534
0.13000,-1.38188,91.41631,0.99578,-0.89951,0.31203
0.14000,-1.37907,91.41321,0.99242,-0.89466,0.30860
0.15000,-1.37895,91.41182,0.98851,-0.89074,0.30512
0.16000,-1.38083,91.41182,0.98392,-0.88758,0.30161
0.17000,-1.38395,91.41283,0.97856,-0.88493,0.29811
0.18000,-1.38757,91.41448,0.97238,-0.88246,0.29461
0.19000,-1.39102,91.41640,0.96537,-0.87984,0.29113
0.20000,-1.39377,91.41828,0.95755,-0.87672,0.28767
0.21000,-1.39544,91.41987,0.94898,-0.87279,0.28425
0.22000,-1.39588,91.42098,0.93974,-0.86780,0.28089
0.23000,-1.39509,91.42153,0.92991,-0.86151,0.27761
0.24000,-1.39321,91.42145,0.91959,-0.85377,0.27443
0.25000,-1.39044,91.42072,0.90890,-0.84445,0.27134
0.26000,-1.38697,91.41929,0.89799,-0.83348,0.26832
0.27000,-1.38292,91.41711,0.88704,-0.82084,0.26532
0.28000,-1.37832,91.41407,0.87624,-0.80661,0.26228
0.29000,-1.37303,91.40997,0.86582,-0.79094,0.25914
0.30000,-1.36680,91.40454,0.85597,-0.77411,0.25583
0.31000,-1.35930,91.39751,0.84686,-0.75647,0.25227
