Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-0.91009,91.08318,2.17632,-1.64070,-1.51891
0.01000,-0.94642,91.10265,2.15750,-1.62983,-1.51185
0.02000,-0.99258,91.12592,2.13187,-1.61770,-1.50413
0.03000,-1.04873,91.15289,2.09886,-1.60431,-1.49602
0.04000,-1.11455,91.18337,2.05813,-1.58953,-1.48782
0.05000,-1.18926,91.21716,2.00969,-1.57310,-1.47984
0.06000,-1.27158,91.25398,1.95388,-1.55468,-1.47235
0.07000,-1.35988,91.29355,1.89140,-1.53391,-1.46554
0.08000,-1.45217,91.33549,1.82327,-1.51053,-1.45956
0.09000,-1.54622,91.37937,1.75078,-1.48443,-1.45444
0.10000,-1.63969,91.42466,1.67541,-1.45576,-1.45014
0.11000,-1.73019,91.47068,1.59876,-1.42493,-1.44656
0.12000,-1.81550,91.51671,1.52244,-1.39267,-1.44353
0.13000,-1.89367,91.56195,1.44794,-1.35988,-1.44086
0.14000,-1.96320,91.60567,1.37657,-1.32765,-1.43831
0.15000,-2.02318,91.64722,1.30938,-1.29709,-1.43565
0.16000,-2.07340,91.68619,1.24714,-1.26922,-1.43265
0.17000,-2.11432,91.72239,1.19033,-1.24492,-1.42910
0.18000,-2.14708,91.75590,1.13914,-1.22477,-1.42478
0.19000,-2.17329,91.78704,1.09355,-1.20909,-1.41953
0.20000,-2.19491,91.81630,1.05339,-1.19789,-1.41321
0.21000,-2.21395,91.84425,1.01832,-1.19092,-1.40570
0.22000,-2.23226,91.87142,0.98800,-1.18768,-1.39693
0.23000,-2.25135,91.89825,0.96205,-1.18753,-1.38690
0.24000,-2.27220,91.92496,0.94011,-1.18973,-1.37563
0.25000,-2.29521,91.95152,0.92192,-1.19350,-1.36327
0.26000,-2.32017,91.97768,0.90728,-1.19811,-1.35003
0.27000,-2.34633,92.00292,0.89606,-1.20286,-1.33618
0.28000,-2.37252,92.02653,0.88822,-1.20726,-1.32207
0.29000,-2.39726,92.04765,0.88373,-1.21099,-1.30800
0.30000,-2.41892,92.06534,0.88256,-1.21401,-1.29421
0.31000,-2.43593,92.07865,0.88459,-1.21656,-1.28082
0.32000,-2.44691,92.08671,0.88957,-1.21909,-1.26780
0.33000,-2.45086,92.08884,0.89705,-1.22218,-1.25498
0.34000,-2.44723,92.08462,0.90642,-1.22637,-1.24207
0.35000,-2.43599,92.07401,0.91688,-1.23206,-1.22871
0.36000,-2.41767,92.05737,0.92753,-1.23940,-1.21453
0.37000,-2.39327,92.03543,0.93747,-1.24822,-1.19924
0.38000,-2.36417,92.00923,0.94590,-1.25807,-1.18260
0.39000,-2.33198,91.97997,0.95214,-1.26834,-1.16451
0.40000,-2.29833,91.94892,0.95573,-1.27834,-1.14494
0.41000,-2.26472,91.91723,0.95643,-1.28744,-1.12400
0.42000,-2.23234,91.88588,0.95420,-1.29513,-1.10187
0.43000,-2.20199,91.85562,0.94919,-1.30113,-1.07879
0.44000,-2.17408,91.82702,0.94169,-1.30538,-1.05509
0.45000,-2.14871,91.80043,0.93205,-1.30801,-1.03113
0.46000,-2.12574,91.77612,0.92069,-1.30938,-1.00735
0.47000,-2.10495,91.75426,0.90799,-1.30996,-0.98420
0.48000,-2.08620,91.73498,0.89433,-1.31032,-0.96212
0.49000,-2.06949,91.71844,0.88004,-1.31107,-0.94151
0.50000,-2.05504,91.70487,0.86538,-1.31278,-0.92267
0.51000,-2.04328,91.69450,0.85059,-1.31594,-0.90579
0.52000,-2.03478,91.68761,0.83585,-1.32089,-0.89092
0.53000,-2.03016,91.68446,0.82131,-1.32783,-0.87791
0.54000,-2.02994,91.68525,0.80707,-1.33675,-0.86647
0.55000,-2.03440,91.69001,0.79317,-1.34755,-0.85618
0.56000,-2.04351,91.69856,0.77959,-1.36002,-0.84650
0.57000,-2.05688,91.71049,0.76626,-1.37392,-0.83684
0.58000,-2.07372,91.72506,0.75308,-1.38903,-0.82662
0.59000,-2.09292,91.74132,0.73990,-1.40514,-0.81525
0.60000,-2.11317,91.75806,0.72662,-1.42212,-0.80228
0.61000,-2.13307,91.77399,0.71317,-1.43979,-0.78735
0.62000,-2.15122,91.78783,0.69954,-1.45801,-0.77032
0.63000,-2.16641,91.79846,0.68583,-1.47655,-0.75123
0.64000,-2.17765,91.80502,0.67217,-1.49509,-0.73037
0.65000,-2.18429,91.80695,0.65876,-1.51328,-0.70818
0.66000,-2.18598,91.80405,0.64583,-1.53071,-0.68527
0.67000,-2.18273,91.79641,0.63356,-1.54706,-0.66225
