Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.52439,1.52022,89.50497,0.90942,0.16365,-0.32364,-0.38743,0.43191,-0.36068,-0.81633
0.01000,-0.51103,1.52022,89.51292,0.90942,0.16150,-0.32364,-0.38316,0.43191,-0.36797,-0.81633
0.02000,-0.49399,1.88451,89.52316,1.13907,0.15717,-0.55993,-0.37879,0.44313,-0.37701,-0.98561
0.03000,-0.47333,2.23226,89.53570,1.36299,0.15030,-0.82539,-0.37429,0.46219,-0.38769,-1.14034
0.04000,-0.44934,2.54313,89.55042,1.56898,0.14066,-1.10487,-0.36954,0.50078,-0.39981,-1.26907
0.05000,-0.42247,2.80085,89.56708,1.74980,0.12821,-1.37952,-0.36428,0.56851,-0.41307,-1.36143
0.06000,-0.39333,2.99508,89.58541,1.90125,0.11307,-1.62895,-0.35817,0.66869,-0.42704,-1.40938
0.07000,-0.36257,3.12143,89.60510,2.02026,0.09563,-1.83364,-0.35091,0.79548,-0.44126,-1.40825
0.08000,-0.33090,3.17982,89.62582,2.10609,0.07640,-1.97721,-0.34226,0.93376,-0.45521,-1.35727
0.09000,-0.29897,3.17210,89.64722,2.15607,0.05608,-2.04807,-0.33223,1.06232,-0.46840,-1.25948
0.10000,-0.26745,3.10009,89.66894,2.16675,0.03544,-2.04017,-0.32102,1.15931,-0.48040,-1.12116
0.11000,-0.23697,2.96484,89.69056,2.13470,0.01528,-1.95295,-0.30904,1.20804,-0.49082,-0.95101
0.12000,-0.20816,2.76702,89.71163,2.05803,-0.00362,-1.79088,-0.29686,1.20103,-0.49942,-0.75922
0.13000,-0.18163,2.50795,89.73172,1.93901,-0.02054,-1.56280,-0.28502,1.14085,-0.50601,-0.55643
0.14000,-0.15800,2.19072,89.75041,1.78146,-0.03487,-1.28114,-0.27404,1.03778,-0.51054,-0.35272
0.15000,-0.13782,1.82092,89.76735,1.59149,-0.04616,-0.96099,-0.26427,0.90538,-0.51306,-0.15656
0.16000,-0.12158,1.40694,89.78224,1.37711,-0.05409,-0.61916,-0.25593,0.75573,-0.51368,0.02595
0.17000,-0.10968,0.95990,89.79489,1.14784,-0.05854,-0.27307,-0.24915,0.59604,-0.51254,0.19109
0.18000,-0.10238,0.49350,89.80520,0.91438,-0.05956,0.06029,-0.24401,0.42755,-0.50985,0.33678
0.19000,-0.09981,0.02375,89.81318,0.68932,-0.05734,0.36550,-0.24060,0.24714,-0.50581,0.46165
0.20000,-0.10191,-0.43131,89.81898,0.48714,-0.05225,0.62992,-0.23907,0.05091,-0.50062,0.56444
0.21000,-0.10844,-0.85240,89.82292,0.32349,-0.04474,0.84465,-0.23958,-0.16158,-0.49452,0.64443
0.22000,-0.11896,-1.22036,89.82545,0.21248,-0.03535,1.00518,-0.24230,-0.38387,-0.48773,0.70234
0.23000,-0.13284,-1.51816,89.82717,0.16479,-0.02464,1.11166,-0.24726,-0.60124,-0.48047,0.74127
0.24000,-0.14932,-1.73325,89.82875,0.18578,-0.01312,1.16874,-0.25432,-0.79197,-0.47291,0.76690
0.25000,-0.16751,-1.85957,89.83089,0.27161,-0.00126,1.18502,-0.26310,-0.93091,-0.46513,0.78688
0.26000,-0.18651,-1.89861,89.83418,0.41046,0.01058,1.17169,-0.27294,-0.99481,-0.45717,0.80967
0.27000,-0.20548,-1.85977,89.83910,0.58250,0.02217,1.14049,-0.28300,-0.96797,-0.44894,0.84313
0.28000,-0.22370,-1.75962,89.84583,0.76294,0.03339,1.10114,-0.29230,-0.84639,-0.44031,0.89329
0.29000,-0.24067,-1.62010,89.85435,0.92430,0.04419,1.05903,-0.29992,-0.63926,-0.43108,0.96310
0.30000,-0.25611,-1.46555,89.86432,1.04141,0.05457,1.01400,-0.30509,-0.36710,-0.42104,1.05119
0.31000,-0.26998,-1.31879,89.87518,1.09596,0.06447,0.96073,-0.30727,-0.05748,-0.41005,1.15097
0.32000,-0.28248,-1.19702,89.88624,1.07994,0.07379,0.89051,-0.30624,0.26054,-0.39803,1.25025
0.33000,-0.29392,-1.10870,89.89678,0.99831,0.08228,0.79400,-0.30206,0.56135,-0.38505,1.33227
0.34000,-0.30466,-1.05230,89.90620,0.86861,0.08967,0.66417,-0.29501,0.82600,-0.37138,1.37817
0.35000,-0.31497,-1.01743,89.91415,0.71945,0.09557,0.49890,-0.28554,1.04321,-0.35748,1.37077
0.36000,-0.32501,-0.98773,89.92059,0.58212,0.09964,0.30235,-0.27415,1.20848,-0.34396,1.29862
0.37000,-0.33472,-0.94491,89.92580,0.48561,0.10162,0.08478,-0.26137,1.32220,-0.33151,1.15936
0.38000,-0.34390,-0.87303,89.93031,0.44975,0.10134,-0.13928,-0.24770,1.38783,-0.32078,0.96098
0.39000,-0.35218,-0.76210,89.93479,0.48141,0.09883,-0.35379,-0.23361,1.41081,-0.31229,0.72082
0.40000,-0.35915,-0.61011,89.93993,0.57220,0.09426,-0.54415,-0.21949,1.39844,-0.30636,0.46226
0.41000,-0.36439,-0.42282,89.94624,0.69847,0.08795,-0.69949,-0.20564,1.36044,-0.30305,0.21035
0.42000,-0.36760,-0.21128,89.95390,0.83008,0.08027,-0.81381,-0.19228,1.30923,-0.30215,-0.01268
0.43000,-0.36861,0.01187,89.96284,0.93689,0.07167,-0.88581,-0.17946,1.25932,-0.30330,-0.19068
0.44000,-0.36736,0.23601,89.97264,0.99411,0.06256,-0.91789,-0.16709,1.22541,-0.30597,-0.31508
0.45000,-0.36389,0.45491,89.98272,0.98915,0.05331,-0.91467,-0.15495,1.21966,-0.30960,-0.38475
0.46000,-0.35827,0.66732,89.99242,0.92163,0.04426,-0.88163,-0.14270,1.24890,-0.31366,-0.40440
0.47000,-0.35055,0.87585,90.00115,0.80338,0.03568,-0.82414,-0.12997,1.31250,-0.31769,-0.38253
0.48000,-0.34075,1.08458,90.00849,0.65460,0.02778,-0.74746,-0.11645,1.40202,-0.32131,-0.32927
0.49000,-0.32885,1.29625,90.01424,0.49553,0.02073,-0.65723,-0.10193,1.50254,-0.32427,-0.25481
0.50000,-0.31482,1.50991,90.01840,0.34485,0.01464,-0.56011,-0.08640,1.59567,-0.32641,-0.16856
0.51000,-0.29866,1.71985,90.02114,0.21591,0.00953,-0.46408,-0.07002,1.66333,-0.32765,-0.07901
0.52000,-0.28043,1.91619,90.02272,0.11292,0.00535,-0.37792,-0.05313,1.69128,-0.32799,0.00604
