Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,50.51423,-1.28956,82.22618,-1.24016,-2.29680,-0.06603,-0.95161,1.26150,-24.19005,0.27399
0.01000,50.50156,-1.28956,82.21416,-1.24016,-2.29758,-0.06603,-0.93948,1.26150,-24.18767,0.27399
0.02000,50.48844,-1.30539,82.20138,-1.29128,-2.29812,-0.04263,-0.92638,1.33454,-24.18457,0.34475
0.03000,50.47546,-1.25999,82.18833,-1.29204,-2.29844,-0.02308,-0.91279,1.35979,-24.18078,0.40903
0.04000,50.46324,-1.15700,82.17554,-1.24207,-2.29859,-0.01343,-0.89918,1.33933,-24.17639,0.46024
0.05000,50.45232,-1.00613,82.16349,-1.14746,-2.29870,-0.01884,-0.88600,1.28150,-24.17157,0.49267
0.06000,50.44312,-0.81959,82.15259,-1.01852,-2.29896,-0.04190,-0.87355,1.19892,-24.16654,0.50182
0.07000,50.43592,-0.61188,82.14312,-0.86403,-2.29954,-0.08190,-0.86202,1.10524,-24.16154,0.48580
0.08000,50.43088,-0.39673,82.13531,-0.69351,-2.30060,-0.13454,-0.85145,1.01188,-24.15682,0.44632
0.09000,50.42799,-0.18482,82.12925,-0.51537,-2.30223,-0.19267,-0.84178,0.92587,-24.15261,0.38824
0.10000,50.42718,0.01545,82.12500,-0.33569,-2.30445,-0.24766,-0.83293,0.84940,-24.14906,0.31919
0.11000,50.42830,0.19932,82.12254,-0.16174,-2.30719,-0.29112,-0.82480,0.78090,-24.14622,0.24843
0.12000,50.43117,0.36411,82.12177,0.00000,-2.31028,-0.31650,-0.81731,0.71728,-24.14409,0.18473
0.13000,50.43558,0.50793,82.12254,0.14000,-2.31352,-0.32021,-0.81045,0.65616,-24.14253,0.13456
0.14000,50.44133,0.62790,82.12457,0.24872,-2.31668,-0.30200,-0.80419,0.59746,-24.14140,0.10176
0.15000,50.44814,0.71888,82.12751,0.31738,-2.31956,-0.26467,-0.79850,0.54366,-24.14050,0.08726
0.16000,50.45570,0.77438,82.13091,0.33875,-2.32197,-0.21307,-0.79332,0.49879,-24.13965,0.08945
0.17000,50.46363,0.78754,82.13428,0.31281,-2.32382,-0.15301,-0.78853,0.46645,-24.13871,0.10490
0.18000,50.47145,0.75359,82.13717,0.24529,-2.32503,-0.08994,-0.78399,0.44782,-24.13755,0.12903
0.19000,50.47870,0.67425,82.13919,0.14801,-2.32562,-0.02807,-0.77957,0.44017,-24.13613,0.15678
0.20000,50.48494,0.55885,82.14013,0.03967,-2.32560,0.03017,-0.77519,0.43666,-24.13442,0.18301
0.21000,50.48988,0.42381,82.13998,-0.05875,-2.32501,0.08398,-0.77084,0.42745,-24.13247,0.20332
0.22000,50.49342,0.28954,82.13895,-0.12817,-2.32392,0.13348,-0.76664,0.40181,-24.13035,0.21524
0.23000,50.49567,0.17452,82.13742,-0.15564,-2.32234,0.17867,-0.76280,0.35068,-24.12816,0.21811
0.24000,50.49691,0.09212,82.13584,-0.13771,-2.32034,0.21850,-0.75962,0.26910,-24.12599,0.21334
0.25000,50.49751,0.04787,82.13467,-0.08125,-2.31797,0.25036,-0.75742,0.15779,-24.12389,0.20370
0.26000,50.49786,0.04120,82.13422,-0.00343,-2.31533,0.27035,-0.75647,0.02368,-24.12191,0.19188
0.27000,50.49833,0.06599,82.13460,0.07401,-2.31257,0.27415,-0.75694,-0.12080,-24.12006,0.17986
0.28000,50.49918,0.11425,82.13570,0.13046,-2.30985,0.25835,-0.75888,-0.25965,-24.11832,0.16880
0.29000,50.50062,0.17815,82.13721,0.15182,-2.30740,0.22186,-0.76214,-0.37590,-24.11668,0.15879
0.30000,50.50275,0.25120,82.13873,0.13428,-2.30541,0.16662,-0.76640,-0.45473,-24.11514,0.14944
0.31000,50.50564,0.33054,82.13989,0.08659,-2.30407,0.09760,-0.77123,-0.48645,-24.11369,0.14095
0.32000,50.50936,0.41618,82.14046,0.02556,-2.30346,0.02170,-0.77613,-0.46894,-24.11232,0.13342
0.33000,50.51397,0.50964,82.14040,-0.02937,-2.30363,-0.05403,-0.78061,-0.40891,-24.11102,0.12693
0.34000,50.51955,0.61226,82.13988,-0.06332,-2.30454,-0.12404,-0.78431,-0.32132,-24.10978,0.12178
