Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,11.95552,0.15149,98.17640,-0.11826,-6.97670,1.06122,-6.63540,1.49312,26.50493,0.62180
0.01000,11.95782,0.15149,98.17482,-0.11826,-6.96637,1.06122,-6.62158,1.49312,26.51134,0.62180
0.02000,11.95855,-0.03176,98.17403,-0.02327,-6.95548,1.09663,-6.60553,1.69511,26.51736,0.54159
0.03000,11.95719,-0.26226,98.17435,0.09995,-6.94444,1.09036,-6.58768,1.84789,26.52217,0.37193
0.04000,11.95331,-0.52886,98.17603,0.24719,-6.93367,1.04613,-6.56858,1.94449,26.52480,0.09995
0.05000,11.94661,-0.81525,98.17930,0.41351,-6.92352,0.97218,-6.54879,1.98789,26.52417,-0.28086
0.06000,11.93700,-1.10159,98.18430,0.59166,-6.91423,0.87876,-6.52882,1.98915,26.51919,-0.76847
0.07000,11.92458,-1.36642,98.19113,0.77515,-6.90594,0.77567,-6.50901,1.96230,26.50880,-1.35031
0.08000,11.90967,-1.58930,98.19981,0.95520,-6.89871,0.67022,-6.48957,1.91793,26.49218,-2.00186
0.09000,11.89279,-1.75281,98.21024,1.12228,-6.89254,0.56663,-6.47065,1.85921,26.46877,-2.68660
0.10000,11.87462,-1.84436,98.22225,1.26877,-6.88738,0.46687,-6.45239,1.78280,26.43845,-3.35760
0.11000,11.85591,-1.85680,98.23561,1.38741,-6.88320,0.37212,-6.43499,1.68393,26.40162,-3.96147
0.12000,11.83748,-1.78838,98.25000,1.47362,-6.87994,0.28427,-6.41871,1.56324,26.35922,-4.44450
0.13000,11.82014,-1.64309,98.26508,1.52664,-6.87751,0.20633,-6.40373,1.43144,26.31273,-4.76189
0.14000,11.80462,-1.43137,98.28053,1.54686,-6.87581,0.14191,-6.39008,1.30858,26.26398,-4.88729
0.15000,11.79151,-1.17049,98.29602,1.53618,-6.87468,0.09377,-6.37756,1.21834,26.21498,-4.82016
0.16000,11.78121,-0.88434,98.31126,1.49765,-6.87394,0.06239,-6.36571,1.17927,26.16758,-4.58851
0.17000,11.77382,-0.60077,98.32597,1.43433,-6.87343,0.04532,-6.35397,1.19720,26.12321,-4.24585
0.18000,11.76919,-0.34738,98.33994,1.34850,-6.87303,0.03750,-6.34177,1.26255,26.08266,-3.86238
0.19000,11.76688,-0.14768,98.35294,1.24397,-6.87268,0.03250,-6.32872,1.35424,26.04596,-3.51343
0.20000,11.76624,-0.01755,98.36482,1.12495,-6.87238,0.02432,-6.31468,1.44796,26.01239,-3.26710
0.21000,11.76653,0.03624,98.37544,0.99602,-6.87219,0.00904,-6.29976,1.52481,25.98062,-3.17430
0.22000,11.76696,0.01564,98.38474,0.86365,-6.87220,-0.01428,-6.28419,1.57673,25.94891,-3.26157
0.23000,11.76684,-0.06967,98.39272,0.73280,-6.87248,-0.04337,-6.26823,1.60594,25.91539,-3.52764
0.24000,11.76557,-0.20375,98.39940,0.60883,-6.87307,-0.07346,-6.25207,1.61960,25.87835,-3.94344
0.25000,11.76276,-0.36588,98.40489,0.49400,-6.87395,-0.09847,-6.23583,1.62275,25.83652,-4.45518
0.26000,11.75825,-0.53115,98.40928,0.38948,-6.87504,-0.11280,-6.21961,1.61254,25.78925,-4.99191
0.27000,11.75214,-0.67134,98.41268,0.29640,-6.87620,-0.11237,-6.20358,1.57731,25.73668,-5.47504
0.28000,11.74483,-0.75746,98.41521,0.21400,-6.87728,-0.09503,-6.18807,1.50032,25.67975,-5.83105
0.29000,11.73699,-0.76370,98.41696,0.14267,-6.87810,-0.06034,-6.17358,1.36707,25.62006,-6.00338
0.30000,11.72955,-0.67253,98.41806,0.08125,-6.87849,-0.00827,-6.16073,1.17300,25.55968,-5.96132
0.31000,11.72354,-0.47998,98.41859,0.02937,-6.87827,0.06142,-6.15012,0.92912,25.50083,-5.70345
0.32000,11.71995,-0.19855,98.41865,-0.01411,-6.87726,0.14946,-6.14214,0.66321,25.44561,-5.25427
0.33000,11.71957,0.14257,98.41830,-0.05150,-6.87528,0.25682,-6.13685,0.41509,25.39575,-4.65765
0.34000,11.72280,0.50125,98.41762,-0.08583,-6.87212,0.38352,-6.13384,0.22788,25.35246,-3.96671
0.35000,11.72960,0.82960,98.41659,-0.12169,-6.86761,0.52779,-6.13230,0.13790,25.31641,-3.23515
