Angle,File,Max_deg,Min_deg,Range_deg,SD_deg,Mean_deg,Max_velocity_deg_s,Min_velocity_deg_s,Max_acceleration_deg_s2,Min_acceleration_deg_s2
Shoulder abduction-adduction descriptor,P01_support.csv,"71,51425522273362","-53,259059828859925","124,77331505159356","22,616564748012397","-2,1109890200329042","773,6801506411364","-1022,8608327324328","18729,35235945151","-16900,091996565374"
Shoulder abduction-adduction descriptor,P02_support.csv,"28,246433088095937","-31,68981412082583","59,93624720892177","11,39218011278952","-0,019804799570178493","419,5107922863588","-559,1921029929208","10148,254681728065","-10424,509707467587"
Shoulder abduction-adduction descriptor,P03_support.csv,"97,03326009053711","-83,32453027094502","180,35779036148213","47,62219384068819","-0,42991112609481136","1554,2544567315165","-1448,335234961336","38026,0439610697","-34326,10698025981"
Shoulder abduction-adduction descriptor,P04_support.csv,"63,648696860786266","-85,36658001079113","149,01527687157738","40,40625844633979","4,502742296901702","1336,3638888659523","-1123,192759569695","19453,916216395628","-20412,292042858986"
Shoulder abduction-adduction descriptor,P05_support.csv,"62,68734567819472","-50,628677582217286","113,31602326041201","24,601544130282335","-3,2242925909129077","702,2056918551076","-833,1510943946823","16029,84219315115","-14465,550151938438"
Shoulder abduction-adduction descriptor,P06_support.csv,"48,21871466909921","-48,681971286992955","96,90068595609216","23,86212988031325","-2,5015841918297315","897,0016902678449","-618,5110484930443","13637,536581316288","-13637,672543453227"
Shoulder abduction-adduction descriptor,P07_support.csv,"49,55185666409569","-56,653536616540244","106,20539328063593","26,32592329321275","2,589640559541368","591,5891523139368","-523,486721813653","9681,2509078989","-10361,162987320455"
Shoulder abduction-adduction descriptor,P08_support.csv,"63,60657967154838","-66,68200651230727","130,28858618385564","29,044325486503855","-2,882069758956914","1514,5158405252282","-1058,3694909821265","23522,459643947826","-32332,1228002403"
Wrist radioulnar deviation descriptor,P01_support.csv,"63,86798773298567","-73,93028957768227","137,79827731066794","30,491867922156104","0,8520415163373748","1245,349989524825","-950,0257739127758","18213,64333696305","-23164,341926617104"
Wrist radioulnar deviation descriptor,P02_support.csv,"66,67786531726836","-68,89844108658687","135,57630640385523","34,28610467570751","2,359502643082559","892,3262629222895","-935,9572335543721","19817,13501992451","-17373,89333753236"
Wrist radioulnar deviation descriptor,P03_support.csv,"134,06764174116427","-206,07543686157683","340,14307860274107","105,09579327258993","-44,91393293750947","3716,139563361843","-5077,234898089061","56350,7242108877","-102438,12036620348"
Wrist radioulnar deviation descriptor,P04_support.csv,"71,89889595684338","-75,24200214352982","147,1408981003732","48,59842911409447","-2,7556442262514413","880,2980486493823","-963,5392570570223","15137,732245057701","-12835,99225967446"
Wrist radioulnar deviation descriptor,P05_support.csv,"211,3903817412071","-250,0590078034643","461,4493895446714","121,91638916080049","6,1245178663530435","7042,766543371171","-4293,880206844768","97190,82957365616","-89286,18209139012"
Wrist radioulnar deviation descriptor,P06_support.csv,"191,52962134793938","-200,09093872493787","391,62056007287725","108,48713987757984","1,9149225011981674","3726,9115004956047","-3343,623731945098","82478,68397270382","-92845,55052217613"
Wrist radioulnar deviation descriptor,P07_support.csv,"143,22072233421775","-201,35084809459102","344,57157042880874","90,58529793618031","3,7365708442869865","2431,124802904426","-2937,4680854429985","47060,10920593253","-72858,29848544105"
Wrist radioulnar deviation descriptor,P08_support.csv,"202,2613767137324","-194,61229842037415","396,8736751341065","120,1628699180419","48,554842720544826","3826,6617155979484","-3880,841120281089","97940,78594462783","-61062,50594526867"
Elbow flexion-extension descriptor,P01_support.csv,"76,8011183999393","-79,83668469426055","156,63780309419985","35,9117604948787","0,8156467015863911","1106,1808177396742","-671,3318080359602","14638,686537141428","-17684,18234681951"
Elbow flexion-extension descriptor,P02_support.csv,"61,320729671919544","-75,44887988666545","136,769609558585","37,1983118407513","2,5046203444353705","888,2426567536768","-827,3811350783534","10878,78169143292","-12147,795702746733"
