Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-1.36615,93.84258,-0.44370,-0.08626,0.60664
0.01000,-1.36121,93.83287,-0.45262,-0.05488,0.59666
0.02000,-1.35526,93.82122,-0.46339,-0.02050,0.58720
0.03000,-1.34832,93.80773,-0.47581,0.01541,0.57911
0.04000,-1.34045,93.79259,-0.48952,0.05111,0.57325
0.05000,-1.33173,93.77605,-0.50402,0.08474,0.57038
0.06000,-1.32227,93.75841,-0.51869,0.11454,0.57102
0.07000,-1.31216,93.73994,-0.53282,0.13898,0.57537
0.08000,-1.30149,93.72092,-0.54570,0.15696,0.58324
0.09000,-1.29036,93.70160,-0.55669,0.16785,0.59412
0.10000,-1.27883,93.68216,-0.56531,0.17157,0.60718
0.11000,-1.26697,93.66275,-0.57136,0.16846,0.62143
0.12000,-1.25482,93.64346,-0.57495,0.15927,0.63585
0.13000,-1.24244,93.62433,-0.57650,0.14505,0.64952
0.14000,-1.22984,93.60542,-0.57667,0.12703,0.66165
0.15000,-1.21709,93.58675,-0.57628,0.10662,0.67167
0.16000,-1.20424,93.56832,-0.57615,0.08536,0.67917
0.17000,-1.19135,93.55019,-0.57696,0.06482,0.68388
0.18000,-1.17852,93.53239,-0.57918,0.04663,0.68568
0.19000,-1.16586,93.51496,-0.58301,0.03232,0.68449
0.20000,-1.15350,93.49799,-0.58839,0.02327,0.68039
0.21000,-1.14161,93.48152,-0.59501,0.02058,0.67351
0.22000,-1.13033,93.46564,-0.60247,0.02498,0.66414
0.23000,-1.11986,93.45040,-0.61026,0.03673,0.65262
0.24000,-1.11034,93.43584,-0.61794,0.05559,0.63936
0.25000,-1.10192,93.42194,-0.62510,0.08078,0.62475
0.26000,-1.09469,93.40869,-0.63147,0.11104,0.60914
0.27000,-1.08867,93.39600,-0.63687,0.14460,0.59274
