Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.84000,-1.22255,98.67846,-2.41157,2.78765,2.94963
0.85000,-1.20024,98.63175,-2.40322,2.77305,2.92048
0.86000,-1.17890,98.58192,-2.39424,2.74629,2.89224
0.87000,-1.15843,98.52921,-2.38486,2.70936,2.86418
0.88000,-1.13865,98.47387,-2.37542,2.66439,2.83531
0.89000,-1.11942,98.41624,-2.36635,2.61357,2.80450
0.90000,-1.10061,98.35675,-2.35817,2.55904,2.77061
0.91000,-1.08217,98.29589,-2.35138,2.50287,2.73263
0.92000,-1.06412,98.23425,-2.34644,2.44701,2.68979
0.93000,-1.04655,98.17244,-2.34370,2.39323,2.64166
0.94000,-1.02962,98.11106,-2.34337,2.34305,2.58821
0.95000,-1.01356,98.05067,-2.34553,2.29765,2.52980
0.96000,-0.99859,97.99173,-2.35010,2.25773,2.46712
0.97000,-0.98495,97.93457,-2.35693,2.22350,2.40119
0.98000,-0.97283,97.87936,-2.36576,2.19471,2.33319
0.99000,-0.96236,97.82616,-2.37633,2.17073,2.26441
1.00000,-0.95359,97.77489,-2.38832,2.15083,2.19611
1.01000,-0.94643,97.72541,-2.40140,2.13429,2.12946
1.02000,-0.94069,97.67754,-2.41517,2.12066,2.06548
1.03000,-0.93602,97.63114,-2.42922,2.10979,2.00507
1.04000,-0.93200,97.58620,-2.44308,2.10186,1.94901
1.05000,-0.92813,97.54275,-2.45632,2.09727,1.89796
1.06000,-0.92387,97.50094,-2.46861,2.09651,1.85247
1.07000,-0.91871,97.46092,-2.47973,2.10007,1.81295
1.08000,-0.91222,97.42288,-2.48962,2.10829,1.77962
1.09000,-0.90407,97.38695,-2.49839,2.12132,1.75245
1.10000,-0.89410,97.35326,-2.50620,2.13910,1.73119
1.11000,-0.88227,97.32188,-2.51330,2.16133,1.71538
1.12000,-0.86865,97.29284,-2.51990,2.18742,1.70434
1.13000,-0.85344,97.26608,-2.52617,2.21645,1.69733
1.14000,-0.83688,97.24146,-2.53220,2.24716,1.69357
1.15000,-0.81922,97.21869,-2.53799,2.27798,1.69231
1.16000,-0.80071,97.19741,-2.54342,2.30713,1.69287
1.17000,-0.78159,97.17714,-2.54833,2.33284,1.69467
1.18000,-0.76200,97.15733,-2.55242,2.35357,1.69720
1.19000,-0.74203,97.13739,-2.55539,2.36827,1.70001
1.20000,-0.72171,97.11674,-2.55690,2.37650,1.70273
1.21000,-0.70097,97.09492,-2.55665,2.37845,1.70502
1.22000,-0.67972,97.07150,-2.55441,2.37485,1.70667
1.23000,-0.65783,97.04625,-2.55007,2.36680,1.70758
1.24000,-0.63515,97.01905,-2.54363,2.35563,1.70779
1.25000,-0.61153,96.98991,-2.53525,2.34270,1.70746
1.26000,-0.58682,96.95890,-2.52519,2.32930,1.70684
1.27000,-0.56088,96.92617,-2.51382,2.31656,1.70618
1.28000,-0.53360,96.89188,-2.50156,2.30539,1.70566
1.29000,-0.50489,96.85625,-2.48892,2.29651,1.70535
1.30000,-0.47475,96.81947,-2.47640,2.29036,1.70517
1.31000,-0.44328,96.78180,-2.46454,2.28715,1.70490
1.32000,-0.41069,96.74352,-2.45385,2.28683,1.70422
1.33000,-0.37730,96.70494,-2.44475,2.28911,1.70277
1.34000,-0.34352,96.66639,-2.43760,2.29353,1.70015
1.35000,-0.30984,96.62817,-2.43259,2.29951,1.69602
1.36000,-0.27676,96.59053,-2.42976,2.30647,1.69008
1.37000,-0.24474,96.55364,-2.42895,2.31391,1.68212
1.38000,-0.21417,96.51756,-2.42989,2.32145,1.67202
1.39000,-0.18531,96.48221,-2.43213,2.32892,1.65980
1.40000,-0.15831,96.44743,-2.43521,2.33635,1.64557
1.41000,-0.13321,96.41297,-2.43860,2.34402,1.62957
1.42000,-0.10997,96.37853,-2.44181,2.35241,1.61209
1.43000,-0.08850,96.34383,-2.44439,2.36213,1.59350
1.44000,-0.06870,96.30868,-2.44595,2.37382,1.57415
1.45000,-0.05049,96.27300,-2.44621,2.38798,1.55438
1.46000,-0.03380,96.23691,-2.44498,2.40481,1.53450
1.47000,-0.01862,96.20065,-2.44224,2.42400,1.51477
1.48000,-0.00499,96.16469,-2.43811,2.44471,1.49538
1.49000,0.00699,96.12956,-2.43281,2.46550,1.47653
1.50000,0.01718,96.09595,-2.42665,2.48441,1.45836
1.51000,0.02542,96.06454,-2.41995,2.49913,1.44098
1.52000,0.03153,96.03602,-2.41302,2.50723,1.42450
1.53000,0.03539,96.01096,-2.40612,2.50646,1.40900
1.54000,0.03690,95.98981,-2.39942,2.49496,1.39458
1.55000,0.03608,95.97283,-2.39308,2.47159,1.38128
1.56000,0.03303,95.96011,-2.38716,2.43603,1.36918
1.57000,0.02797,95.95152,-2.38173,2.38890,1.35827
1.58000,0.02123,95.94679,-2.37678,2.33175,1.34855
1.59000,0.01319,95.94553,-2.37232,2.26694,1.33995
1.60000,0.00426,95.94729,-2.36831,2.19741,1.33238
1.61000,-0.00514,95.95164,-2.36473,2.12647,1.32575
1.62000,-0.01467,95.95824,-2.36151,2.05751,1.31999
1.63000,-0.02402,95.96681,-2.35863,1.99376,1.31509
1.64000,-0.03297,95.97719,-2.35602,1.93805,1.31110
1.65000,-0.04132,95.98929,-2.35364,1.89264,1.30817
1.66000,-0.04894,96.00310,-2.35145,1.85912,1.30656
1.67000,-0.05565,96.01862,-2.34945,1.83828,1.30659
1.68000,-0.06130,96.03585,-2.34766,1.83013,1.30865
1.69000,-0.06572,96.05477,-2.34617,1.83390,1.31315
1.70000,-0.06875,96.07529,-2.34507,1.84812,1.32042
1.71000,-0.07023,96.09729,-2.34445,1.87084,1.33070
1.72000,-0.07003,96.12058,-2.34436,1.89977,1.34404
1.73000,-0.06805,96.14494,-2.34476,1.93255,1.36028
1.74000,-0.06422,96.17010,-2.34552,1.96687,1.37904
1.75000,-0.05851,96.19571,-2.34638,2.00066,1.39971
1.76000,-0.05090,96.22138,-2.34705,2.03217,1.42156
1.77000,-0.04139,96.24667,-2.34718,2.05997,1.44377
1.78000,-0.02997,96.27106,-2.34645,2.08302,1.46558
1.79000,-0.01660,96.29405,-2.34461,2.10071,1.48628
1.80000,-0.00127,96.31512,-2.34148,2.11283,1.50531
1.81000,0.01603,96.33381,-2.33698,2.11967,1.52220
1.82000,0.03530,96.34975,-2.33110,2.12197,1.53664
1.83000,0.05649,96.36269,-2.32389,2.12085,1.54838
1.84000,0.07949,96.37247,-2.31547,2.11768,1.55726
1.85000,0.10419,96.37906,-2.30600,2.11386,1.56324
1.86000,0.13042,96.38252,-2.29572,2.11066,1.56633
1.87000,0.15799,96.38296,-2.28490,2.10905,1.56672
1.88000,0.18669,96.38049,-2.27391,2.10960,1.56468
1.89000,0.21631,96.37523,-2.26312,2.11247,1.56062
