Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-5.28127,80.93939,3.61287,3.47347,-5.11145
0.01000,-5.26772,80.90545,3.61616,3.49385,-5.10855
0.02000,-5.25503,80.86574,3.61718,3.51868,-5.10278
0.03000,-5.24446,80.82077,3.61533,3.54778,-5.09364
0.04000,-5.23737,80.77120,3.61014,3.58084,-5.08076
0.05000,-5.23509,80.71778,3.60139,3.61736,-5.06395
0.06000,-5.23887,80.66122,3.58914,3.65682,-5.04318
0.07000,-5.24975,80.60217,3.57373,3.69871,-5.01860
0.08000,-5.26852,80.54107,3.55575,3.74262,-4.99048
0.09000,-5.29565,80.47823,3.53600,3.78826,-4.95923
0.10000,-5.33124,80.41376,3.51535,3.83550,-4.92533
0.11000,-5.37504,80.34766,3.49472,3.88427,-4.88934
0.12000,-5.42645,80.27983,3.47490,3.93448,-4.85187
0.13000,-5.48458,80.21021,3.45652,3.98591,-4.81360
0.14000,-5.54832,80.13882,3.43993,4.03813,-4.77524
0.15000,-5.61644,80.06586,3.42520,4.09044,-4.73753
0.16000,-5.68771,79.99172,3.41209,4.14191,-4.70117
0.17000,-5.76097,79.91709,3.40012,4.19138,-4.66685
0.18000,-5.83523,79.84286,3.38864,4.23760,-4.63517
0.19000,-5.90969,79.77017,3.37690,4.27937,-4.60661
0.20000,-5.98379,79.70026,3.36423,4.31563,-4.58150
0.21000,-6.05719,79.63441,3.35009,4.34563,-4.56001
0.22000,-6.12973,79.57385,3.33414,4.36904,-4.54217
0.23000,-6.20138,79.51961,3.31633,4.38589,-4.52783
0.24000,-6.27218,79.47245,3.29684,4.39659,-4.51672
0.25000,-6.34217,79.43279,3.27608,4.40180,-4.50846
0.26000,-6.41134,79.40070,3.25468,4.40229,-4.50262
0.27000,-6.47954,79.37583,3.23337,4.39882,-4.49876
0.28000,-6.54652,79.35757,3.21298,4.39216,-4.49646
0.29000,-6.61186,79.34502,3.19437,4.38304,-4.49539
0.30000,-6.67508,79.33717,3.17840,4.37227,-4.49533
0.31000,-6.73559,79.33291,3.16587,4.36079,-4.49625
0.32000,-6.79281,79.33121,3.15752,4.34976,-4.49830
0.33000,-6.84619,79.33112,3.15394,4.34056,-4.50181
0.34000,-6.89521,79.33181,3.15550,4.33474,-4.50721
0.35000,-6.93945,79.33261,3.16236,4.33385,-4.51499
0.36000,-6.97858,79.33300,3.17438,4.33933,-4.52559
0.37000,-7.01241,79.33260,3.19112,4.35224,-4.53926
0.38000,-7.04090,79.33119,3.21190,4.37313,-4.55602
