Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,0.43563,0.83652,92.03123,-0.95558,-0.84350,-0.53855,0.11754,1.11587,1.02874,-0.04973
0.01000,0.44379,0.83652,92.02236,-0.95558,-0.84908,-0.53855,0.12733,1.11587,1.02917,-0.04973
0.02000,0.45236,0.85432,92.01212,-1.08299,-0.85427,-0.47917,0.13986,1.38061,1.02774,-0.25036
0.03000,0.46088,0.82536,92.00070,-1.19019,-0.85866,-0.37891,0.15494,1.61481,1.02416,-0.47323
0.04000,0.46887,0.74709,91.98832,-1.27411,-0.86185,-0.24213,0.17215,1.79726,1.01828,-0.69957
0.05000,0.47582,0.62077,91.97522,-1.33171,-0.86350,-0.07659,0.19088,1.91249,1.01017,-0.90902
0.06000,0.48128,0.45128,91.96169,-1.36414,-0.86338,0.10806,0.21040,1.95389,1.00010,-1.08351
0.07000,0.48485,0.24662,91.94794,-1.37291,-0.86134,0.30148,0.22996,1.92462,0.98850,-1.21088
0.08000,0.48622,0.01755,91.93423,-1.36070,-0.85735,0.49316,0.24890,1.83609,0.97588,-1.28688
0.09000,0.48520,-0.22308,91.92072,-1.33324,-0.85148,0.67253,0.26668,1.70453,0.96276,-1.31537
0.10000,0.48175,-0.46102,91.90756,-1.29471,-0.84390,0.82916,0.28299,1.54686,0.94957,-1.30693
0.11000,0.47598,-0.68183,91.89483,-1.25198,-0.83490,0.95358,0.29762,1.37685,0.93662,-1.27639
0.12000,0.46812,-0.87221,91.88252,-1.21307,-0.82483,1.03848,0.31052,1.20244,0.92405,-1.23955
0.13000,0.45853,-1.02139,91.87057,-1.18484,-0.81413,1.07970,0.32167,1.02507,0.91183,-1.20995
0.14000,0.44769,-1.12223,91.85883,-1.17416,-0.80324,1.07665,0.33102,0.84089,0.89985,-1.19591
0.15000,0.43609,-1.17194,91.84708,-1.18561,-0.79259,1.03174,0.33849,0.64386,0.88791,-1.19887
0.16000,0.42425,-1.17226,91.83511,-1.22070,-0.78260,0.94946,0.34390,0.42918,0.87587,-1.21333
0.17000,0.41264,-1.12917,91.82267,-1.27678,-0.77361,0.83564,0.34707,0.19617,0.86365,-1.22857
0.18000,0.40167,-1.05185,91.80958,-1.34621,-0.76589,0.69712,0.34782,-0.05058,0.85130,-1.23158
0.19000,0.39161,-0.95118,91.79575,-1.41907,-0.75966,0.54182,0.34606,-0.30159,0.83901,-1.21053
0.20000,0.38264,-0.83794,91.78120,-1.48239,-0.75505,0.37884,0.34179,-0.54353,0.82709,-1.15781
0.21000,0.37485,-0.72106,91.76610,-1.52321,-0.75209,0.21795,0.33519,-0.76043,0.81586,-1.07215
0.22000,0.36822,-0.60624,91.75073,-1.53236,-0.75069,0.06872,0.32658,-0.93492,0.80564,-0.95955
0.23000,0.36272,-0.49536,91.73545,-1.50414,-0.75071,-0.06088,0.31649,-1.05000,0.79667,-0.83273
0.24000,0.35832,-0.38663,91.72065,-1.43623,-0.75191,-0.16572,0.30558,-1.09195,0.78899,-0.70917
0.25000,0.35499,-0.27565,91.70673,-1.33171,-0.75403,-0.24414,0.29465,-1.05407,0.78248,-0.60777
0.26000,0.35280,-0.15691,91.69402,-1.19896,-0.75679,-0.29795,0.28450,-0.94031,0.77683,-0.54484
0.27000,0.35185,-0.02554,91.68275,-1.04675,-0.75999,-0.33165,0.27585,-0.76727,0.77159,-0.53016
0.28000,0.35229,0.12114,91.67308,-0.88463,-0.76343,-0.35108,0.26916,-0.56342,0.76623,-0.56441
0.29000,0.35428,0.28237,91.66505,-0.72289,-0.76701,-0.36192,0.26458,-0.36486,0.76030,-0.63879
0.30000,0.35794,0.45353,91.65862,-0.56839,-0.77067,-0.36831,0.26186,-0.20818,0.75346,-0.73711
0.31000,0.36335,0.62662,91.65369,-0.42381,-0.77437,-0.37182,0.26041,-0.12209,0.74556,-0.83998
0.32000,0.37047,0.79178,91.65015,-0.29030,-0.77810,-0.37115,0.25942,-0.12044,0.73666,-0.92959
0.33000,0.37918,0.93931,91.64788,-0.16708,-0.78180,-0.36244,0.25800,-0.19895,0.72696,-0.99387
0.34000,0.38926,1.06161,91.64680,-0.05264,-0.78535,-0.34037,0.25544,-0.33685,0.71678,-1.02850
0.35000,0.40041,1.15426,91.64683,0.05264,-0.78860,-0.29963,0.25127,-0.50304,0.70639,-1.03645
0.36000,0.41234,1.21630,91.64786,0.14610,-0.79134,-0.23682,0.24538,-0.66453,0.69605,-1.02550
0.37000,0.42474,1.24975,91.64975,0.22507,-0.79334,-0.15207,0.23798,-0.79493,0.68588,-1.00477
0.38000,0.43734,1.25873,91.65236,0.28496,-0.79438,-0.05009,0.22948,-0.88050,0.67595,-0.98151
0.39000,0.44992,1.24861,91.65545,0.32196,-0.79434,0.05975,0.22037,-0.92244,0.66625,-0.95912
0.40000,0.46231,1.22527,91.65880,0.33379,-0.79319,0.16463,0.21103,-0.93482,0.65677,-0.93695
0.41000,0.47442,1.19453,91.66212,0.31700,-0.79105,0.25052,0.20167,-0.93854,0.64752,-0.91169
0.42000,0.48620,1.16182,91.66514,0.27237,-0.78818,0.30496,0.19226,-0.95330,0.63854,-0.87987
0.43000,0.49766,1.13202,91.66757,0.19989,-0.78495,0.31986,0.18260,-0.98989,0.62992,-0.84044
0.44000,0.50884,1.10945,91.66914,0.10033,-0.78178,0.29348,0.17246,-1.04542,0.62173,-0.79630
0.45000,0.51985,1.09783,91.66958,-0.02289,-0.77908,0.23131,0.16170,-1.10325,0.61399,-0.75418
0.46000,0.53080,1.10018,91.66868,-0.16823,-0.77716,0.14519,0.15040,-1.13788,0.60665,-0.72244
0.47000,0.54185,1.11843,91.66621,-0.33455,-0.77618,0.05099,0.13894,-1.12333,0.59954,-0.70768
0.48000,0.55317,1.15301,91.66199,-0.51918,-0.77614,-0.03475,0.12793,-1.04199,0.59249,-0.71131
0.49000,0.56491,1.20233,91.65583,-0.71983,-0.77687,-0.09806,0.11810,-0.89081,0.58532,-0.72761
0.50000,0.57721,1.26254,91.64759,-0.93307,-0.77810,-0.12974,0.11011,-0.68251,0.57794,-0.74416
0.51000,0.59016,1.32747,91.63717,-1.15356,-0.77947,-0.12609,0.10445,-0.44180,0.57043,-0.74482
0.52000,0.60376,1.38909,91.62452,-1.37367,-0.78062,-0.08818,0.10128,-0.19835,0.56304,-0.71411
0.53000,0.61794,1.43831,91.60970,-1.58501,-0.78123,-0.02034,0.10048,0.02050,0.55615,-0.64169
0.54000,0.63253,1.46614,91.59282,-1.77841,-0.78103,0.07173,0.10169,0.19456,0.55021,-0.52525
0.55000,0.64727,1.46494,91.57413,-1.94435,-0.77980,0.18234,0.10437,0.31187,0.54565,-0.37086
0.56000,0.66183,1.42948,91.55393,-2.07520,-0.77738,0.30661,0.10793,0.36671,0.54279,-0.19097
0.57000,0.67585,1.35757,91.53262,-2.16560,-0.77366,0.44035,0.11171,0.35626,0.54183,-0.00101
0.58000,0.68898,1.24995,91.51062,-2.21329,-0.76857,0.57942,0.11505,0.27831,0.54277,0.18401
0.59000,0.70085,1.10987,91.48836,-2.21748,-0.76207,0.71910,0.11727,0.13097,0.54551,0.35174
0.60000,0.71118,0.94239,91.46627,-2.17896,-0.75419,0.85389,0.11767,-0.08539,0.54981,0.49321
0.61000,0.71970,0.75403,91.44478,-2.10037,-0.74500,0.97800,0.11557,-0.36529,0.55537,0.60227
0.62000,0.72626,0.55239,91.42426,-1.98784,-0.73463,1.08622,0.11037,-0.69554,0.56185,0.67431
0.63000,0.73075,0.34600,91.40502,-1.84898,-0.72327,1.17456,0.10165,-1.05419,0.56886,0.70525
0.64000,0.73318,0.14402,91.38728,-1.69258,-0.71114,1.24033,0.08928,-1.41162,0.57596,0.69092
0.65000,0.73363,-0.04418,91.37117,-1.53122,-0.69847,1.28158,0.07342,-1.73361,0.58268,0.62725
0.66000,0.73229,-0.20976,91.35666,-1.37787,-0.68551,1.29644,0.05461,-1.98589,0.58850,0.51097
0.67000,0.72943,-0.34526,91.34361,-1.24474,-0.67254,1.28294,0.03370,-2.13915,0.59290,0.34079
0.68000,0.72539,-0.44532,91.33176,-1.14098,-0.65985,1.23948,0.01183,-2.17325,0.59532,0.11871
0.69000,0.72053,-0.50705,91.32079,-1.07269,-0.64775,1.16588,-0.00976,-2.07972,0.59527,-0.14883
0.70000,0.71525,-0.53014,91.31031,-1.04370,-0.63653,1.06443,-0.02977,-1.86209,0.59234,-0.45059
0.71000,0.70993,-0.51666,91.29992,-1.05286,-0.62646,0.94047,-0.04700,-1.53399,0.58626,-0.77120
0.72000,0.70491,-0.47100,91.28925,-1.09711,-0.61772,0.80238,-0.06045,-1.11586,0.57692,-1.09293
0.73000,0.70051,-0.39957,91.27798,-1.17073,-0.61041,0.66071,-0.06932,-0.63115,0.56440,-1.39805
0.74000,0.69692,-0.31022,91.26584,-1.26381,-0.60451,0.52690,-0.07307,-0.10327,0.54896,-1.67118
0.75000,0.69430,-0.21138,91.25270,-1.36719,-0.59987,0.41167,-0.07138,0.44576,0.53098,-1.90094
0.76000,0.69269,-0.11108,91.23849,-1.47018,-0.59627,0.32330,-0.06416,0.99486,0.51094,-2.08030
0.77000,0.69208,-0.01592,91.22330,-1.56174,-0.59341,0.26621,-0.05149,1.52186,0.48937,-2.20580
0.78000,0.69238,0.06965,91.20726,-1.63345,-0.59095,0.24022,-0.03372,2.00126,0.46682,-2.27594
0.79000,0.69347,0.14377,91.19063,-1.67885,-0.58860,0.24084,-0.01146,2.40355,0.44385,-2.28968
0.80000,0.69525,0.20704,91.17368,-1.69525,-0.58613,0.26067,0.01435,2.69732,0.42103,-2.24565
0.81000,0.69761,0.26203,91.15672,-1.68381,-0.58339,0.29148,0.04248,2.85454,0.39894,-2.14281
0.82000,0.70049,0.31244,91.14001,-1.64986,-0.58030,0.32658,0.07144,2.85775,0.37817,-1.98212
0.83000,0.70386,0.36210,91.12373,-1.60141,-0.57686,0.36269,0.09964,2.70663,0.35930,-1.76865
0.84000,0.70773,0.41406,91.10798,-1.54762,-0.57305,0.40075,0.12558,2.42140,0.34280,-1.51321
0.85000,0.71214,0.46993,91.09277,-1.49689,-0.56884,0.44551,0.14807,2.04096,0.32903,-1.23235
0.86000,0.71713,0.52978,91.07804,-1.45645,-0.56414,0.50394,0.16639,1.61575,0.31815,-0.94666
0.87000,0.72274,0.59239,91.06364,-1.43204,-0.55876,0.58280,0.18038,1.19715,0.31010,-0.67750
0.88000,0.72898,0.65573,91.04940,-1.42632,-0.55248,0.68617,0.19034,0.82652,0.30460,-0.44306
