Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-0.58975,91.04586,2.85187,0.95633,-2.39081
0.01000,-0.58220,91.03808,2.86146,0.95199,-2.39274
0.02000,-0.57262,91.02795,2.86919,0.94518,-2.39254
0.03000,-0.56098,91.01543,2.87377,0.93598,-2.38944
0.04000,-0.54733,91.00063,2.87393,0.92473,-2.38268
0.05000,-0.53183,90.98379,2.86846,0.91206,-2.37157
0.06000,-0.51473,90.96526,2.85640,0.89883,-2.35556
0.07000,-0.49635,90.94557,2.83708,0.88602,-2.33426
0.08000,-0.47707,90.92529,2.81027,0.87461,-2.30753
0.09000,-0.45728,90.90501,2.77618,0.86540,-2.27543
0.10000,-0.43740,90.88532,2.73542,0.85893,-2.23834
0.11000,-0.41780,90.86673,2.68901,0.85537,-2.19683
0.12000,-0.39885,90.84962,2.63821,0.85444,-2.15170
0.13000,-0.38086,90.83429,2.58449,0.85550,-2.10391
0.14000,-0.36410,90.82086,2.52936,0.85756,-2.05453
0.15000,-0.34878,90.80933,2.47436,0.85946,-2.00470
0.16000,-0.33504,90.79961,2.42094,0.86000,-1.95560
0.17000,-0.32292,90.79150,2.37046,0.85804,-1.90843
0.18000,-0.31237,90.78478,2.32410,0.85264,-1.86430
0.19000,-0.30327,90.77921,2.28280,0.84307,-1.82425
0.20000,-0.29547,90.77461,2.24729,0.82889,-1.78916
0.21000,-0.28877,90.77084,2.21799,0.80999,-1.75969
0.22000,-0.28299,90.76786,2.19504,0.78658,-1.73626
0.23000,-0.27793,90.76569,2.17831,0.75925,-1.71905
0.24000,-0.27345,90.76438,2.16746,0.72893,-1.70792
0.25000,-0.26941,90.76406,2.16190,0.69680,-1.70251
0.26000,-0.26570,90.76481,2.16088,0.66421,-1.70219
0.27000,-0.26223,90.76672,2.16353,0.63251,-1.70614
0.28000,-0.25894,90.76981,2.16881,0.60288,-1.71331
0.29000,-0.25577,90.77409,2.17564,0.57619,-1.72250
0.30000,-0.25270,90.77951,2.18283,0.55292,-1.73235
0.31000,-0.24973,90.78597,2.18923,0.53319,-1.74143
0.32000,-0.24687,90.79335,2.19369,0.51679,-1.74827
0.33000,-0.24417,90.80151,2.19520,0.50330,-1.75148
0.34000,-0.24168,90.81026,2.19287,0.49226,-1.74979
0.35000,-0.23943,90.81940,2.18601,0.48323,-1.74214
0.36000,-0.23745,90.82872,2.17415,0.47590,-1.72781
0.37000,-0.23574,90.83799,2.15702,0.47011,-1.70637
0.38000,-0.23429,90.84699,2.13454,0.46583,-1.67779
0.39000,-0.23306,90.85551,2.10682,0.46316,-1.64240
0.40000,-0.23202,90.86340,2.07412,0.46228,-1.60084
0.41000,-0.23117,90.87055,2.03682,0.46340,-1.55406
0.42000,-0.23051,90.87690,1.99545,0.46673,-1.50319
0.43000,-0.23006,90.88245,1.95064,0.47238,-1.44950
0.44000,-0.22990,90.88728,1.90318,0.48037,-1.39431
0.45000,-0.23009,90.89145,1.85399,0.49053,-1.33891
0.46000,-0.23071,90.89511,1.80412,0.50251,-1.28454
0.47000,-0.23183,90.89838,1.75470,0.51576,-1.23227
0.48000,-0.23347,90.90138,1.70689,0.52954,-1.18299
0.49000,-0.23563,90.90421,1.66176,0.54299,-1.13737
0.50000,-0.23823,90.90694,1.62020,0.55523,-1.09585
0.51000,-0.24114,90.90957,1.58279,0.56547,-1.05860
0.52000,-0.24418,90.91207,1.54980,0.57313,-1.02557
0.53000,-0.24710,90.91437,1.52111,0.57792,-0.99652
0.54000,-0.24964,90.91635,1.49627,0.57988,-0.97103
0.55000,-0.25150,90.91786,1.47457,0.57938,-0.94859
0.56000,-0.25242,90.91877,1.45514,0.57700,-0.92864
0.57000,-0.25215,90.91889,1.43707,0.57345,-0.91061
0.58000,-0.25051,90.91811,1.41952,0.56947,-0.89399
0.59000,-0.24739,90.91630,1.40175,0.56571,-0.87829
0.60000,-0.24279,90.91341,1.38321,0.56272,-0.86308
0.61000,-0.23679,90.90943,1.36344,0.56092,-0.84789
0.62000,-0.22959,90.90446,1.34208,0.56061,-0.83224
0.63000,-0.22145,90.89864,1.31875,0.56204,-0.81557
0.64000,-0.21269,90.89220,1.29309,0.56536,-0.79732
0.65000,-0.20358,90.88536,1.26472,0.57070,-0.77691
0.66000,-0.19438,90.87836,1.23329,0.57810,-0.75386
0.67000,-0.18524,90.87141,1.19852,0.58751,-0.72777
0.68000,-0.17625,90.86464,1.16024,0.59876,-0.69842
0.69000,-0.16743,90.85813,1.11844,0.61151,-0.66571
0.70000,-0.15874,90.85189,1.07333,0.62526,-0.62967
0.71000,-0.15015,90.84589,1.02527,0.63943,-0.59042
0.72000,-0.14164,90.84007,0.97487,0.65333,-0.54818
0.73000,-0.13321,90.83428,0.92290,0.66635,-0.50321
0.74000,-0.12489,90.82840,0.87033,0.67791,-0.45590
0.75000,-0.11673,90.82226,0.81820,0.68761,-0.40670
0.76000,-0.10877,90.81565,0.76760,0.69516,-0.35617
0.77000,-0.10104,90.80837,0.71958,0.70040,-0.30496
0.78000,-0.09355,90.80021,0.67501,0.70325,-0.25381
0.79000,-0.08630,90.79099,0.63457,0.70371,-0.20356
0.80000,-0.07925,90.78054,0.59869,0.70178,-0.15506
0.81000,-0.07239,90.76882,0.56753,0.69752,-0.10921
0.82000,-0.06573,90.75583,0.54101,0.69105,-0.06692
0.83000,-0.05931,90.74168,0.51889,0.68258,-0.02906
0.84000,-0.05316,90.72654,0.50078,0.67248,0.00357
0.85000,-0.04737,90.71066,0.48623,0.66125,0.03023
0.86000,-0.04196,90.69424,0.47479,0.64948,0.05037
0.87000,-0.03692,90.67752,0.46597,0.63784,0.06358
0.88000,-0.03220,90.66065,0.45935,0.62694,0.06970
0.89000,-0.02766,90.64373,0.45448,0.61720,0.06879
0.90000,-0.02316,90.62682,0.45098,0.60882,0.06123
0.91000,-0.01853,90.60995,0.44849,0.60165,0.04764
0.92000,-0.01368,90.59319,0.44669,0.59523,0.02892
0.93000,-0.00859,90.57665,0.44536,0.58886,0.00620
0.94000,-0.00335,90.56054,0.44439,0.58165,-0.01922
0.95000,0.00184,90.54512,0.44379,0.57273,-0.04593
0.96000,0.00665,90.53075,0.44368,0.56136,-0.07250
0.97000,0.01073,90.51782,0.44431,0.54702,-0.09762
0.98000,0.01368,90.50670,0.44598,0.52952,-0.12017
0.99000,0.01520,90.49769,0.44897,0.50902,-0.13931
1.00000,0.01508,90.49099,0.45350,0.48606,-0.15459
1.01000,0.01331,90.48663,0.45963,0.46151,-0.16593
1.02000,0.01004,90.48447,0.46723,0.43655,-0.17367
1.03000,0.00561,90.48423,0.47595,0.41259,-0.17849
1.04000,0.00054,90.48547,0.48520,0.39112,-0.18135
1.05000,-0.00461,90.48768,0.49427,0.37358,-0.18337
1.06000,-0.00923,90.49035,0.50231,0.36121,-0.18568
1.07000,-0.01283,90.49301,0.50850,0.35492,-0.18937
1.08000,-0.01501,90.49533,0.51211,0.35514,-0.19534
1.09000,-0.01558,90.49709,0.51259,0.36186,-0.20428
1.10000,-0.01453,90.49824,0.50968,0.37454,-0.21664
1.11000,-0.01202,90.49883,0.50343,0.39219,-0.23263
1.12000,-0.00833,90.49901,0.49419,0.41338,-0.25224
1.13000,-0.00382,90.49899,0.48260,0.43638,-0.27522
1.14000,0.00110,90.49897,0.46952,0.45921,-0.30115
1.15000,0.00602,90.49919,0.45593,0.47981,-0.32941
1.16000,0.01058,90.49984,0.44285,0.49621,-0.35927
1.17000,0.01446,90.50111,0.43126,0.50668,-0.38991
1.18000,0.01743,90.50314,0.42202,0.50997,-0.42050
1.19000,0.01935,90.50607,0.41577,0.50542,-0.45024
1.20000,0.02012,90.50996,0.41287,0.49307,-0.47840
1.21000,0.01976,90.51488,0.41337,0.47365,-0.50436
1.22000,0.01829,90.52081,0.41698,0.44847,-0.52763
1.23000,0.01582,90.52768,0.42310,0.41923,-0.54784
1.24000,0.01247,90.53537,0.43085,0.38783,-0.56473
1.25000,0.00839,90.54371,0.43915,0.35615,-0.57807
1.26000,0.00377,90.55247,0.44681,0.32586,-0.58769
1.27000,-0.00117,90.56142,0.45263,0.29836,-0.59344
1.28000,-0.00623,90.57024,0.45553,0.27471,-0.59518
1.29000,-0.01118,90.57863,0.45468,0.25566,-0.59280
1.30000,-0.01580,90.58629,0.44957,0.24173,-0.58626
1.31000,-0.01992,90.59292,0.44011,0.23324,-0.57559
1.32000,-0.02337,90.59825,0.42661,0.23039,-0.56093
1.33000,-0.02602,90.60203,0.40974,0.23330,-0.54254
1.34000,-0.02773,90.60401,0.39041,0.24193,-0.52078
1.35000,-0.02840,90.60397,0.36960,0.25610,-0.49610
1.36000,-0.02793,90.60170,0.34826,0.27537,-0.46904
1.37000,-0.02625,90.59700,0.32712,0.29900,-0.44013
1.38000,-0.02335,90.58978,0.30667,0.32589,-0.40995
1.39000,-0.01931,90.58000,0.28716,0.35468,-0.37907
1.40000,-0.01431,90.56776,0.26868,0.38373,-0.34816
1.41000,-0.00867,90.55327,0.25126,0.41131,-0.31795
1.42000,-0.00280,90.53685,0.23502,0.43566,-0.28931
1.43000,0.00282,90.51888,0.22020,0.45517,-0.26319
1.44000,0.00766,90.49980,0.20724,0.46847,-0.24055
1.45000,0.01122,90.47999,0.19669,0.47453,-0.22229
1.46000,0.01309,90.45977,0.18916,0.47271,-0.20905
1.47000,0.01300,90.43936,0.18515,0.46281,-0.20115
1.48000,0.01087,90.41888,0.18496,0.44506,-0.19846
1.49000,0.00677,90.39830,0.18858,0.42007,-0.20038
1.50000,0.00096,90.37754,0.19565,0.38880,-0.20588
1.51000,-0.00613,90.35641,0.20538,0.35250,-0.21357
1.52000,-0.01399,90.33472,0.21663,0.31262,-0.22181
1.53000,-0.02203,90.31226,0.22792,0.27076,-0.22890
1.54000,-0.02968,90.28885,0.23758,0.22851,-0.23320
1.55000,-0.03637,90.26438,0.24389,0.18738,-0.23333
1.56000,-0.04161,90.23883,0.24525,0.14865,-0.22825
1.57000,-0.04505,90.21223,0.24028,0.11332,-0.21736
1.58000,-0.04646,90.18475,0.22802,0.08209,-0.20052
1.59000,-0.04580,90.15661,0.20796,0.05535,-0.17805
1.60000,-0.04321,90.12810,0.18011,0.03331,-0.15070
1.61000,-0.03897,90.09957,0.14502,0.01604,-0.11955
1.62000,-0.03350,90.07139,0.10371,0.00358,-0.08596
1.63000,-0.02727,90.04390,0.05766,-0.00405,-0.05149
1.64000,-0.02079,90.01739,0.00861,-0.00682,-0.01773
1.65000,-0.01450,89.99204,-0.04153,-0.00477,0.01374
1.66000,-0.00877,89.96796,-0.09084,0.00192,0.04149
1.67000,-0.00385,89.94511,-0.13755,0.01282,0.06433
1.68000,0.00016,89.92334,-0.18014,0.02722,0.08138
1.69000,0.00325,89.90241,-0.21745,0.04412,0.09209
1.70000,0.00557,89.88205,-0.24875,0.06228,0.09632
1.71000,0.00732,89.86196,-0.27372,0.08032,0.09430
1.72000,0.00879,89.84189,-0.29247,0.09688,0.08662
1.73000,0.01027,89.82165,-0.30546,0.11077,0.07417
1.74000,0.01208,89.80109,-0.31345,0.12103,0.05805
1.75000,0.01453,89.78017,-0.31734,0.12701,0.03944
1.76000,0.01787,89.75887,-0.31813,0.12841,0.01953
1.77000,0.02229,89.73720,-0.31679,0.12527,-0.00068
1.78000,0.02792,89.71516,-0.31415,0.11790,-0.02039
1.79000,0.03478,89.69274,-0.31093,0.10685,-0.03910
1.80000,0.04284,89.66991,-0.30764,0.09281,-0.05661
1.81000,0.05195,89.64662,-0.30461,0.07652,-0.07298
1.82000,0.06195,89.62283,-0.30202,0.05867,-0.08846
1.83000,0.07264,89.59847,-0.29994,0.03988,-0.10337
1.84000,0.08378,89.57357,-0.29830,0.02057,-0.11806
1.85000,0.09517,89.54816,-0.29701,0.00103,-0.13280
1.86000,0.10659,89.52238,-0.29590,-0.01861,-0.14775
1.87000,0.11784,89.49646,-0.29477,-0.03826,-0.16292
1.88000,0.12873,89.47066,-0.29342,-0.05786,-0.17820
1.89000,0.13905,89.44537,-0.29170,-0.07722,-0.19339
1.90000,0.14863,89.42097,-0.28948,-0.09600,-0.20821
1.91000,0.15731,89.39787,-0.28673,-0.11372,-0.22236
1.92000,0.16497,89.37640,-0.28352,-0.12977,-0.23555
1.93000,0.17156,89.35683,-0.28000,-0.14355,-0.24753
1.94000,0.17710,89.33929,-0.27642,-0.15456,-0.25813
1.95000,0.18165,89.32376,-0.27308,-0.16250,-0.26728
1.96000,0.18535,89.31013,-0.27027,-0.16734,-0.27496
1.97000,0.18834,89.29817,-0.26823,-0.16932,-0.28128
1.98000,0.19079,89.28758,-0.26707,-0.16895,-0.28642
1.99000,0.19282,89.27805,-0.26675,-0.16690,-0.29060
2.00000,0.19452,89.26926,-0.26703,-0.16399,-0.29408
2.01000,0.19592,89.26093,-0.26752,-0.16108,-0.29716
2.02000,0.19701,89.25286,-0.26771,-0.15900,-0.30008
2.03000,0.19775,89.24485,-0.26709,-0.15852,-0.30309
2.04000,0.19806,89.23676,-0.26519,-0.16031,-0.30642
2.05000,0.19788,89.22849,-0.26170,-0.16492,-0.31025
