Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.66926,0.36837,89.49207,0.69695,2.24467,-1.39517,-0.18269,0.29273,1.72607,-1.15237
0.01000,-0.66619,0.36837,89.49884,0.69695,2.23177,-1.39517,-0.18005,0.29273,1.71533,-1.15237
0.02000,-0.66189,0.49647,89.50600,0.71907,2.21677,-1.59520,-0.17684,0.34503,1.70302,-1.29770
0.03000,-0.65626,0.63132,89.51322,0.70534,2.19986,-1.77352,-0.17315,0.38321,1.68938,-1.41690
0.04000,-0.64927,0.76567,89.52011,0.65384,2.18130,-1.92602,-0.16917,0.40084,1.67468,-1.50642
0.05000,-0.64095,0.89130,89.52630,0.56725,2.16134,-2.05128,-0.16514,0.39310,1.65925,-1.56596
0.06000,-0.63144,0.99994,89.53146,0.45128,2.14027,-2.15007,-0.16131,0.35842,1.64337,-1.59800
0.07000,-0.62095,1.08430,89.53532,0.31509,2.11834,-2.22473,-0.15797,0.29987,1.62729,-1.60688
0.08000,-0.60975,1.13897,89.53776,0.16899,2.09578,-2.27879,-0.15531,0.22601,1.61123,-1.59784
0.09000,-0.59817,1.16100,89.53870,0.02327,2.07276,-2.31626,-0.15345,0.15034,1.59533,-1.57610
0.10000,-0.58653,1.15007,89.53822,-0.11139,2.04945,-2.34095,-0.15231,0.08944,1.57971,-1.54623
0.11000,-0.57517,1.10820,89.53648,-0.22659,2.02595,-2.35604,-0.15166,0.06000,1.56441,-1.51170
0.12000,-0.56437,1.03933,89.53369,-0.31471,2.00233,-2.36383,-0.15111,0.07549,1.54947,-1.47487
0.13000,-0.55438,0.94900,89.53018,-0.37155,1.97867,-2.36548,-0.15015,0.14350,1.53491,-1.43745
0.14000,-0.54539,0.84404,89.52626,-0.39482,1.95502,-2.36077,-0.14824,0.26402,1.52072,-1.40136
0.15000,-0.53750,0.73203,89.52229,-0.38452,1.93145,-2.34785,-0.14487,0.42884,1.50688,-1.36943
0.16000,-0.53075,0.62062,89.51857,-0.34409,1.90806,-2.32295,-0.13966,0.62183,1.49333,-1.34531
0.17000,-0.52509,0.51638,89.51540,-0.27847,1.88499,-2.28071,-0.13243,0.82008,1.47998,-1.33275
0.18000,-0.52042,0.42380,89.51300,-0.19379,1.86245,-2.21502,-0.12326,0.99639,1.46668,-1.33439
0.19000,-0.51661,0.34471,89.51153,-0.09613,1.84069,-2.12018,-0.11250,1.12295,1.45329,-1.35072
0.20000,-0.51353,0.27840,89.51108,0.00877,1.82005,-1.99231,-0.10080,1.17611,1.43966,-1.37970
0.21000,-0.51105,0.22247,89.51170,0.11711,1.80085,-1.83047,-0.08898,1.14083,1.42570,-1.41724
0.22000,-0.50908,0.17370,89.51342,0.22507,1.78344,-1.63733,-0.07798,1.01371,1.41132,-1.45835
0.23000,-0.50757,0.12907,89.51620,0.33112,1.76810,-1.41901,-0.06871,0.80409,1.39653,-1.49863
0.24000,-0.50650,0.08634,89.52004,0.43449,1.75506,-1.18430,-0.06190,0.53286,1.38135,-1.53582
0.25000,-0.50585,0.04446,89.52489,0.53444,1.74442,-0.94358,-0.05805,0.22960,1.36581,-1.57046
0.26000,-0.50561,0.00345,89.53073,0.63057,1.73618,-0.70795,-0.05731,-0.07168,1.34994,-1.60570
0.27000,-0.50578,-0.03605,89.53751,0.72212,1.73026,-0.48851,-0.05948,-0.33758,1.33370,-1.64568
0.28000,-0.50633,-0.07332,89.54517,0.80948,1.72641,-0.29587,-0.06406,-0.54038,1.31702,-1.69359
0.29000,-0.50724,-0.10770,89.55370,0.89188,1.72434,-0.13936,-0.07029,-0.66216,1.29983,-1.74990
0.30000,-0.50848,-0.13829,89.56301,0.96855,1.72363,-0.02632,-0.07730,-0.69717,1.28203,-1.81162
0.31000,-0.51001,-0.16344,89.57307,1.03874,1.72381,0.03841,-0.08424,-0.65198,1.26359,-1.87258
0.32000,-0.51175,-0.18039,89.58379,1.09978,1.72439,0.05280,-0.09034,-0.54312,1.24457,-1.92444
0.33000,-0.51362,-0.18549,89.59506,1.14899,1.72487,0.01760,-0.09510,-0.39323,1.22510,-1.95814
0.34000,-0.51546,-0.17492,89.60677,1.18370,1.72475,-0.06386,-0.09821,-0.22660,1.20541,-1.96518
0.35000,-0.51712,-0.14583,89.61874,1.20201,1.72359,-0.18594,-0.09963,-0.06527,1.18580,-1.93871
0.36000,-0.51838,-0.09735,89.63081,1.20239,1.72103,-0.34112,-0.09951,0.07371,1.16664,-1.87449
0.37000,-0.51906,-0.03131,89.64278,1.18599,1.71677,-0.52059,-0.09816,0.17958,1.14831,-1.77191
0.38000,-0.51901,0.04777,89.65453,1.15547,1.71062,-0.71492,-0.09592,0.24819,1.13120,-1.63473
0.39000,-0.51811,0.13334,89.66589,1.11389,1.70247,-0.91465,-0.09319,0.28136,1.11562,-1.47135
0.40000,-0.51634,0.21794,89.67680,1.06659,1.69232,-1.11074,-0.09029,0.28573,1.10177,-1.29421
0.41000,-0.51375,0.29454,89.68723,1.01662,1.68026,-1.29489,-0.08748,0.27112,1.08973,-1.11803
0.42000,-0.51045,0.35770,89.69714,0.96703,1.66643,-1.46002,-0.08487,0.24862,1.07941,-0.95726
0.43000,-0.50659,0.40404,89.70657,0.92049,1.65106,-1.60069,-0.08250,0.22857,1.07059,-0.82335
0.44000,-0.50237,0.43216,89.71555,0.87738,1.63441,-1.71348,-0.08030,0.21894,1.06294,-0.72277
0.45000,-0.49795,0.44241,89.72411,0.83885,1.61679,-1.79697,-0.07813,0.22439,1.05613,-0.65640
0.46000,-0.49352,0.43660,89.73232,0.80376,1.59847,-1.85154,-0.07581,0.24590,1.04982,-0.62025
0.47000,-0.48922,0.41768,89.74019,0.77019,1.57975,-1.87910,-0.07321,0.28076,1.04373,-0.60717
0.48000,-0.48516,0.38928,89.74773,0.73624,1.56089,-1.88282,-0.07020,0.32300,1.03767,-0.60914
0.49000,-0.48143,0.35529,89.75491,0.70038,1.54210,-1.86683,-0.06675,0.36460,1.03154,-0.61951
0.50000,-0.47806,0.31928,89.76173,0.65994,1.52355,-1.83575,-0.06291,0.39743,1.02528,-0.63463
0.51000,-0.47505,0.28407,89.76811,0.61264,1.50538,-1.79406,-0.05880,0.41539,1.01885,-0.65400
0.52000,-0.47238,0.25127,89.77399,0.55771,1.48767,-1.74580,-0.05460,0.41599,1.01220,-0.67910
0.53000,-0.47002,0.22126,89.77927,0.49515,1.47047,-1.69442,-0.05048,0.40081,1.00527,-0.71123
0.54000,-0.46795,0.19345,89.78389,0.42725,1.45378,-1.64304,-0.04658,0.37535,0.99798,-0.74941
0.55000,-0.46615,0.16701,89.78781,0.35591,1.43761,-1.59456,-0.04297,0.34871,0.99028,-0.78932
0.56000,-0.46461,0.14170,89.79101,0.28610,1.42189,-1.55154,-0.03961,0.33331,0.98219,-0.82393
0.57000,-0.46332,0.11843,89.79353,0.22278,1.40658,-1.51607,-0.03631,0.34413,0.97380,-0.84549
0.58000,-0.46224,0.09934,89.79546,0.16899,1.39157,-1.48953,-0.03273,0.39670,0.96528,-0.84798
0.59000,-0.46133,0.08724,89.79691,0.12856,1.37679,-1.47245,-0.02837,0.50360,0.95684,-0.82895
0.60000,-0.46050,0.08470,89.79803,0.10338,1.36212,-1.46433,-0.02265,0.67034,0.94870,-0.79031
0.61000,-0.45964,0.09324,89.79898,0.09460,1.34750,-1.46359,-0.01497,0.89187,0.94104,-0.73779
0.62000,-0.45863,0.11287,89.79993,0.10185,1.33285,-1.46767,-0.00482,1.15137,0.93395,-0.67932
0.63000,-0.45738,0.14204,89.80102,0.12321,1.31815,-1.47341,0.00806,1.42149,0.92745,-0.62316
0.64000,-0.45579,0.17798,89.80239,0.15526,1.30338,-1.47756,0.02361,1.66788,0.92148,-0.57621
0.65000,-0.45382,0.21734,89.80412,0.19302,1.28859,-1.47728,0.04142,1.85408,0.91593,-0.54305
0.66000,-0.45145,0.25687,89.80625,0.23232,1.27384,-1.47054,0.06070,1.94696,0.91062,-0.52580
0.67000,-0.44868,0.29391,89.80877,0.26932,1.25918,-1.45649,0.08036,1.92211,0.90541,-0.52454
0.68000,-0.44557,0.32663,89.81164,0.30022,1.24471,-1.43573,0.09914,1.76857,0.90013,-0.53777
0.69000,-0.44215,0.35398,89.81477,0.32272,1.23047,-1.41032,0.11573,1.49184,0.89466,-0.56297
0.70000,-0.43849,0.37550,89.81809,0.33531,1.21650,-1.38321,0.12897,1.11413,0.88887,-0.59688
0.71000,-0.43464,0.39136,89.82148,0.33875,1.20280,-1.35741,0.13801,0.67161,0.88272,-0.63583
0.72000,-0.43066,0.40209,89.82487,0.33417,1.18935,-1.33508,0.14241,0.20876,0.87616,-0.67584
0.73000,-0.42660,0.40815,89.82816,0.32349,1.17610,-1.31701,0.14219,-0.22838,0.86920,-0.71289
0.74000,-0.42250,0.40950,89.83134,0.31013,1.16301,-1.30261,0.13784,-0.59880,0.86190,-0.74338
0.75000,-0.41841,0.40526,89.83437,0.29755,1.15005,-1.29030,0.13021,-0.87147,0.85433,-0.76459
0.76000,-0.41439,0.39385,89.83729,0.28839,1.13721,-1.27807,0.12041,-1.02856,0.84661,-0.77524
0.77000,-0.41053,0.37333,89.84013,0.28343,1.12449,-1.26398,0.10964,-1.06679,0.83883,-0.77574
0.78000,-0.40693,0.34188,89.84296,0.28419,1.11193,-1.24640,0.09907,-0.99703,0.83109,-0.76822
0.79000,-0.40369,0.29835,89.84582,0.28992,1.09956,-1.22395,0.08970,-0.84217,0.82346,-0.75614
0.80000,-0.40096,0.24277,89.84875,0.29755,1.08745,-1.19540,0.08223,-0.63348,0.81597,-0.74360
0.81000,-0.39884,0.17649,89.85177,0.30479,1.07565,-1.15955,0.07703,-0.40588,0.80859,-0.73434
0.82000,-0.39743,0.10222,89.85485,0.30823,1.06426,-1.11549,0.07411,-0.19268,0.80128,-0.73087
0.83000,-0.39679,0.02369,89.85793,0.30403,1.05334,-1.06292,0.07318,-0.02061,0.79397,-0.73371
0.84000,-0.39696,-0.05463,89.86093,0.29144,1.04300,-1.00283,0.07370,0.09417,0.78661,-0.74120
0.85000,-0.39789,-0.12778,89.86376,0.26894,1.03329,-0.93800,0.07506,0.14818,0.77915,-0.74978
0.86000,-0.39951,-0.19049,89.86631,0.23766,1.02424,-0.87317,0.07666,0.15033,0.77161,-0.75486
0.87000,-0.40170,-0.23769,89.86852,0.19951,1.01582,-0.81456,0.07807,0.11910,0.76405,-0.75216
0.88000,-0.40427,-0.26512,89.87030,0.15793,1.00795,-0.76872,0.07905,0.07772,0.75657,-0.73897
0.89000,-0.40700,-0.27036,89.87167,0.11787,1.00045,-0.74109,0.07962,0.04830,0.74927,-0.71515
0.90000,-0.40967,-0.25362,89.87266,0.08392,0.99313,-0.73490,0.08001,0.04653,0.74227,-0.68348
0.91000,-0.41207,-0.21794,89.87335,0.06104,0.98575,-0.75046,0.08055,0.07788,0.73560,-0.64920
0.92000,-0.41403,-0.16871,89.87388,0.05302,0.97812,-0.78519,0.08157,0.13654,0.72928,-0.61901
0.93000,-0.41545,-0.11269,89.87441,0.06256,0.97005,-0.83423,0.08328,0.20708,0.72322,-0.59962
0.94000,-0.41629,-0.05683,89.87513,0.08850,0.96143,-0.89147,0.08571,0.26873,0.71729,-0.59633
0.95000,-0.41658,-0.00718,89.87618,0.12894,0.95222,-0.95066,0.08866,0.30114,0.71130,-0.61205
0.96000,-0.41643,0.03207,89.87771,0.18196,0.94242,-1.00628,0.09173,0.28999,0.70505,-0.64693
0.97000,-0.41594,0.05916,89.87982,0.24338,0.93209,-1.05417,0.09446,0.23090,0.69836,-0.69841
