Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,0.35883,0.22766,90.87029,-0.25520,0.70173,-0.44734,0.01321,-0.15718,-0.15702,1.00469
0.01000,0.36090,0.22766,90.86796,-0.25520,0.69748,-0.44734,0.01133,-0.15718,-0.14699,1.00469
0.02000,0.36339,0.26743,90.86519,-0.29640,0.69278,-0.48363,0.01007,-0.08459,-0.13693,0.98060
0.03000,0.36625,0.29965,90.86203,-0.32997,0.68781,-0.50156,0.00964,0.00519,-0.12738,0.90256
0.04000,0.36938,0.32140,90.85859,-0.35362,0.68275,-0.49961,0.01017,0.10494,-0.11888,0.77640
0.05000,0.37267,0.33082,90.85496,-0.36583,0.67781,-0.47866,0.01174,0.20593,-0.11185,0.61325
0.06000,0.37600,0.32748,90.85127,-0.36507,0.67318,-0.44200,0.01429,0.29952,-0.10661,0.42735
0.07000,0.37922,0.31218,90.84766,-0.35210,0.66897,-0.39506,0.01773,0.37842,-0.10331,0.23357
0.08000,0.38224,0.28633,90.84423,-0.32768,0.66527,-0.34476,0.02186,0.43734,-0.10194,0.04539
0.09000,0.38495,0.25109,90.84110,-0.29335,0.66208,-0.29877,0.02647,0.47286,-0.10240,-0.12620
0.10000,0.38726,0.20680,90.83836,-0.25101,0.65930,-0.26451,0.03132,0.48306,-0.10447,-0.27312
0.11000,0.38909,0.15292,90.83608,-0.20218,0.65679,-0.24816,0.03614,0.46732,-0.10786,-0.39014
0.12000,0.39032,0.08862,90.83432,-0.14801,0.65434,-0.25370,0.04066,0.42663,-0.11227,-0.47455
0.13000,0.39086,0.01351,90.83312,-0.09079,0.65171,-0.28221,0.04467,0.36416,-0.11735,-0.52580
0.14000,0.39059,-0.07158,90.83250,-0.03166,0.64869,-0.33143,0.04795,0.28575,-0.12278,-0.54504
0.15000,0.38943,-0.16420,90.83249,0.02823,0.64509,-0.39591,0.05038,0.19966,-0.12825,-0.53465
0.16000,0.38731,-0.26018,90.83307,0.08621,0.64077,-0.46779,0.05194,0.11551,-0.13348,-0.49775
0.17000,0.38422,-0.35397,90.83421,0.13924,0.63573,-0.53820,0.05269,0.04240,-0.13821,-0.43785
0.18000,0.38023,-0.43928,90.83585,0.18539,0.63001,-0.59898,0.05279,-0.01301,-0.14223,-0.35877
0.19000,0.37544,-0.50995,90.83792,0.22316,0.62375,-0.64422,0.05243,-0.04781,-0.14538,-0.26495
0.20000,0.37003,-0.56070,90.84032,0.25063,0.61713,-0.67123,0.05183,-0.06285,-0.14753,-0.16190
0.21000,0.36422,-0.58796,90.84293,0.26703,0.61033,-0.68056,0.05118,-0.06175,-0.14862,-0.05654
0.22000,0.35827,-0.59059,90.84566,0.27237,0.60351,-0.67541,0.05060,-0.04921,-0.14866,0.04300
0.23000,0.35241,-0.57045,90.84838,0.26817,0.59682,-0.66042,0.05019,-0.02944,-0.14776,0.12822
0.24000,0.34686,-0.53262,90.85102,0.25558,0.59031,-0.64052,0.05001,-0.00527,-0.14610,0.19166
0.25000,0.34176,-0.48482,90.85349,0.23727,0.58401,-0.61990,0.05009,0.02200,-0.14393,0.22842
0.26000,0.33716,-0.43613,90.85577,0.21667,0.57791,-0.60141,0.05045,0.05192,-0.14153,0.23737
0.27000,0.33304,-0.39523,90.85783,0.19569,0.57198,-0.58649,0.05112,0.08392,-0.13918,0.22146
0.28000,0.32926,-0.36869,90.85968,0.17586,0.56618,-0.57543,0.05213,0.11634,-0.13710,0.18692
0.29000,0.32566,-0.35992,90.86134,0.15793,0.56047,-0.56775,0.05345,0.14583,-0.13544,0.14179
0.30000,0.32206,-0.36887,90.86284,0.14076,0.55482,-0.56248,0.05504,0.16755,-0.13427,0.09410
0.31000,0.31829,-0.39246,90.86416,0.12321,0.54922,-0.55821,0.05680,0.17605,-0.13356,0.05031
0.32000,0.31421,-0.42543,90.86530,0.10490,0.54366,-0.55313,0.05857,0.16686,-0.13326,0.01451
0.33000,0.30978,-0.46136,90.86626,0.08392,0.53816,-0.54511,0.06014,0.13848,-0.13327,-0.01171
0.34000,0.30499,-0.49374,90.86698,0.05989,0.53276,-0.53212,0.06133,0.09374,-0.13349,-0.02898
0.35000,0.29990,-0.51684,90.86745,0.03357,0.52752,-0.51283,0.06201,0.04012,-0.13385,-0.03974
0.36000,0.29465,-0.52625,90.86765,0.00648,0.52250,-0.48723,0.06214,-0.01143,-0.13429,-0.04793
0.37000,0.28938,-0.51904,90.86758,-0.01945,0.51777,-0.45713,0.06179,-0.04866,-0.13481,-0.05854
0.38000,0.28427,-0.49365,90.86726,-0.04234,0.51336,-0.42616,0.06116,-0.06042,-0.13546,-0.07678
0.39000,0.27950,-0.44985,90.86674,-0.06180,0.50925,-0.39955,0.06058,-0.03847,-0.13634,-0.10685
0.40000,0.27527,-0.38892,90.86603,-0.07744,0.50537,-0.38341,0.06039,0.02152,-0.13760,-0.15036
0.41000,0.27173,-0.31393,90.86519,-0.09003,0.50158,-0.38382,0.06101,0.11968,-0.13935,-0.20533
0.42000,0.26899,-0.22973,90.86423,-0.10262,0.49769,-0.40571,0.06279,0.25197,-0.14170,-0.26599
0.43000,0.26713,-0.14235,90.86314,-0.11635,0.49347,-0.45187,0.06605,0.41029,-0.14467,-0.32358
0.44000,0.26615,-0.05804,90.86190,-0.13275,0.48865,-0.52223,0.07099,0.58280,-0.14817,-0.36789
0.45000,0.26597,0.01775,90.86048,-0.15373,0.48302,-0.61375,0.07770,0.75487,-0.15203,-0.38897
0.46000,0.26650,0.08116,90.85883,-0.18120,0.47638,-0.72067,0.08609,0.91089,-0.15595,-0.37874
